Descripción,Unidad,Fecha,INICIO (KM),FIN (KM),METRADO
Desbroce Manual T2,m2,2018-01-11,160+000,160+050,100
Limpieza de carril/pista y bermas T2,m2,2018-03-07,159+840,159+850,4
Reparación de Bache Superficial T2,m2,2018-04-12,159+840,159+846,18
Limpieza Manual de Cuneta de Vía T2,ml,2018-04-20,159+820,159+830,10
Desbroce Manual T2,m2,2018-06-08,159+700,160+000,2400
Limpieza Manual de Cabezal de Alcantarilla T2,ml,2018-06-08,159+721,,7
Limpieza de Cajas de Inspección Subdren T2,und,2018-06-08,159+721,,1
Limpieza Manual de Cabezal de Alcantarilla T2,ml,2018-06-08,159+945,,5
Limpieza de Cajas de Inspección Subdren T2,und,2018-06-08,159+945,,1
Repintado de Postes de Señalización Vertical T2,m2,2018-06-13,159+856,159+856,4.5
Reparación de Bache Superficial T2,m2,2018-06-13,159+858,159+861,0.15000000000000002
Reposición de cuneta,ml,2018-06-14,159+772,159+775,6
Reposición de cuneta,ml,2018-06-14,159+835,159+843,16
Reposición de cuneta,ml,2018-06-14,159+858,159+861,6
Reparación de Bache Superficial T2,m2,2018-06-18,159+863,159+870,0.35000000000000003
Reposición de cuneta,ml,2018-06-19,159+772,159+775,3
Reposición de cuneta,ml,2018-06-19,159+835,159+844,9
Reposición de cuneta,ml,2018-06-19,159+858,159+861,3
Limpieza Manual de Cuneta de Vía T2,ml,2018-09-03,159+900,160+000,100
Limpieza mecanizada de cabezal de alcantarilla T2,m3,2018-09-21,159+730,159+740,5
Limpieza de Cajas de Inspección Subdren T2,und,2018-09-21,159+730,,1
Limpieza Manual de Cabezal de Alcantarilla T2,ml,2018-09-21,159+730,159+740,12
Limpieza Manual de Cabezal de Alcantarilla T2,ml,2019-04-30,159+850,,9
Remocion de Derrumbes T2,m3,2019-05-01,159+950,159+970,60
Limpieza de postes (hitos) kilométricos T2,und,2019-05-15,160+000,,1
Desbroce Manual T2,m2,2019-09-30,159+700,159+760,180
Limpieza Manual de Cuneta de Vía T2,ml,2019-09-30,159+800,159+950,150
Desbroce Manual T2,m2,2019-12-03,160+000,160+050,150
Desbroce Manual T2,m2,2019-12-27,159+700,160+000,1800
Limpieza Manual de Cuneta de Vía T2,ml,2019-12-27,159+700,160+000,300
Limpieza de carril/pista y bermas T2,m2,2020-02-07,159+750,,21.6
Limpieza de Placas de Señalización Vertical T2,m2,2020-02-14,159+880,,2.8
Limpieza de Parapetos Veredas de Concreto T2,m2,2020-02-14,159+880,,2.8
