Descripción,Unidad,Fecha,INICIO (KM),FIN (KM),METRADO
Limpieza de Deslizamientos Menores < 15 m3 T2,m3,2020-04-29,159+700,159+710,13
Limpieza de Postes de Señalización Vertical T2,und,2020-10-27,159+745,,1
Limpieza de Postes de Señalización Vertical T2,und,2020-10-27,159+849,,1
Limpieza de Postes de Señalización Vertical T2,und,2020-10-27,160+016,,1
Repintado de Postes de Señalización Vertical T2,m2,2020-11-03,159+745,159+745,1.56
Limpieza de Postes de Señalización Vertical T2,und,2020-11-03,159+745,159+745,1
Repintado de Postes de Señalización Vertical T2,m2,2020-11-03,159+849,159+849,1.56
Limpieza de Postes de Señalización Vertical T2,und,2020-11-03,159+849,159+849,1
Repintado de Postes de Señalización Vertical T2,m2,2020-11-03,160+016,160+016,1.56
Limpieza de Postes de Señalización Vertical T2,und,2020-11-03,160+016,160+016,1
Limpieza Pórtico instalados en los Tramos T2,m2,2020-11-04,159+849,,9.2
Repintado de Parapetos Muros T2,m2,2020-11-04,159+849,,1.44
Limpieza de Parapetos Veredas de Concreto T2,m2,2020-11-04,159+849,,1.44
Limpieza Manual de Cuneta de Vía T2,ml,2021-03-29,159+780,159+965,25
Limpieza Manual de Cabezal de Alcantarilla T2,ml,2021-04-27,159+946,159+946,10
Limpieza Manual de Cuneta de Vía T2,ml,2021-06-14,159+740,159+790,50
Limpieza de postes (hitos) kilométricos T2,und,2021-06-17,160+000,,1
Repintado de Postes de (hitos) kilométricos T2,m2,2021-06-17,160+000,,0.5
Limpieza Manual de Cabezal de Alcantarilla T2,ml,2021-06-19,159+720,,6
Reposición de Tachas Reflectivas T2,und,2021-06-21,159+800,159+899,28
Reposición de Tachas Reflectivas T2,und,2021-06-21,159+900,159+999,45
Reposición de Señalización Vertical T2,m2,2021-11-02,159+798,,0.5625
Repintado de Postes de Señalización Vertical T2,m2,2021-11-03,159+735,,1.56
Limpieza de Postes de Señalización Vertical T2,und,2021-11-03,159+735,,1
Repintado de Postes de Señalización Vertical T2,m2,2021-11-03,159+740,,1.56
Limpieza de Postes de Señalización Vertical T2,und,2021-11-03,159+740,,1
Limpieza Pórtico instalados en los Tramos T2,m2,2021-11-03,159+806,,0.35
Repintado de Postes de Señalización Vertical T2,m2,2021-11-03,159+934,,1.56
Limpieza de Postes de Señalización Vertical T2,und,2021-11-03,159+934,,1
Limpieza Manual de Cabezal de Alcantarilla T2,ml,2021-11-09,159+945,159+945,10
Limpieza de Superfície de Concreto y Dispos. Drenaje T2,ml,2021-11-10,159+720,159+726,14
Reposición de Señalización Vertical T2,m2,2021-11-10,159+852,159+852,0.96
Reposición de Señalización Vertical T2,m2,2021-11-10,159+930,159+930,0.96
Limpieza Manual de Cabezal de Alcantarilla T2,ml,2021-11-29,159+720,159+720,12
Limpieza Manual de Cuneta de Vía T2,ml,2021-11-29,159+720,159+760,40
Limpieza de Juntas en Cunetas y Bermas,ml,2021-11-29,159+720,159+760,22.666666666666668
Reposición de Señalización Vertical T2,m2,2022-01-14,159+852,,0.5625
Limpieza Manual de Cuneta de Vía T2,ml,2022-03-07,159+790,159+800,10
Limpieza de carril/pista y bermas T2,m2,2022-09-13,160+025,,6
Repintado de Postes de Señalización Vertical T2,m2,2022-09-26,160+020,,1.56
Limpieza Manual de Cabezal de Alcantarilla T2,ml,2022-11-28,159+720,159+720,10
Limpieza Manual de Cabezal de Alcantarilla T2,ml,2023-07-04,159+950,159+950,10
Limpieza Manual de Cabezal de Alcantarilla T2,ml,2023-09-25,159+720,159+720,10
Limpieza Manual de Cabezal de Alcantarilla T2,ml,2023-10-17,159+741,159+741,12
Limpieza Manual de Cabezal de Alcantarilla T2,ml,2023-10-17,159+746,159+746,10
Limpieza Manual de Cabezal de Alcantarilla T2,ml,2023-10-17,159+931,159+931,14
Limpieza Manual de Cabezal de Alcantarilla T2,ml,2023-10-17,159+945,159+949,10
Limpieza Manual de Cabezal de Alcantarilla T2,ml,2023-10-24,159+720,159+720,10
Limpieza Manual de Cabezal de Alcantarilla T2,ml,2023-10-25,159+760,159+760,12
Limpieza Manual de Cabezal de Alcantarilla T2,ml,2023-10-25,159+920,159+920,14
Limpieza Manual de Cuneta de Vía T2,ml,2023-11-06,159+780,159+880,100
Reposición de Señalización Vertical T2,m2,2023-12-26,159+930,,0.5625
Limpieza de Placas de Señalización Vertical T2,m2,2024-01-18,159+920,159+920,0.5625
Limpieza Manual de Cuneta de Vía T2,ml,2024-02-26,159+700,159+740,120
Limpieza Manual de Cuneta de Vía T2,ml,2024-02-27,159+700,159+740,80
Desbroce Manual T2,m2,2024-03-03,159+800,160+000,1200
Limpieza Manual de Cabezal de Alcantarilla T2,ml,2024-03-04,159+700,,15
Limpieza Manual de Cuneta de Vía T2,ml,2024-03-04,159+900,159+740,375
Limpieza Manual de Cuerpo de Alcantarilla T2,ml,2024-03-05,159+700,,14
Limpieza de carril/pista y bermas T2,m2,2024-03-06,159+700,,20
Limpieza Manual de Cuneta de Vía T2,ml,2024-03-06,159+700,159+740,40
Reposición de Señalización Vertical T2,m2,2024-03-18,159+800,,0.096
Limpieza Manual de Cuneta de Vía T2,ml,2024-03-19,159+750,159+760,50
Limpieza de Juntas en Cunetas y Bermas,m2,2024-03-19,159+750,159+760,28.333333333333332
Limpieza de Placas de Señalización Vertical T2,m2,2024-06-12,159+864,159+864,0.5625
Limpieza Manual de Cuneta de Vía T2,ml,2024-06-12,159+900,159+949,49
Limpieza de Juntas en Cunetas y Bermas,m2,2024-06-12,159+900,159+949,40.8
Limpieza Manual de Cuneta de Vía T2,ml,2024-06-12,159+960,159+999,39
Limpieza de Juntas en Cunetas y Bermas,m2,2024-06-12,159+960,159+999,172.26666666666665
Limpieza de Placas de Señalización Vertical T2,m2,2024-06-12,160+016,160+016,0.5625
Limpieza mecanizada de cabezal de alcantarilla T2,m3,2024-07-01,159+710,159+713,13
Limpieza mecanizada de cabezal de alcantarilla T2,m3,2024-07-01,159+931,159+934,12
Limpieza Manual de Cuneta de Vía T2,ml,2025-02-26,159+700,159+850,150
Desbroce Manual T2,m2,2025-02-28,159+820,160+000,1080
Limpieza Manual de Cuneta de Vía T2,ml,2025-02-28,159+820,160+000,360
Limpieza de Juntas en Cunetas y Bermas,ml,2025-02-28,159+820,160+000,204
Limpieza de Postes de Señalización Vertical T2,und,2025-03-06,159+753,159+753,1
Limpieza de Placas de Señalización Vertical T2,m2,2025-03-06,159+753,159+753,0.5625
Limpieza de Postes de Señalización Vertical T2,und,2025-03-06,159+863,159+863,1
Limpieza de Placas de Señalización Vertical T2,m2,2025-03-06,159+863,159+863,0.5625
Limpieza de Postes de Señalización Vertical T2,und,2025-03-06,159+939,159+939,1
Limpieza de Placas de Señalización Vertical T2,m2,2025-03-06,159+939,159+939,0.5625
Limpieza Manual de Cabezal de Alcantarilla T2,ml,2025-03-06,159+953,159+956,12
Limpieza de Postes de Señalización Vertical T2,und,2025-03-06,160+016,160+016,1
Limpieza de Placas de Señalización Vertical T2,m2,2025-03-06,160+016,160+016,0.5625
Limpieza Manual de Cabezal de Alcantarilla T2,ml,2025-03-30,159+720,159+724,14
Limpieza Manual de Cuerpo de Alcantarilla T2,ml,2025-05-19,159+900,159+900,14
Repintado de Postes de Señalización Vertical T2,m2,2025-05-31,160+017,160+017,1.56
Limpieza de Postes de Señalización Vertical T2,und,2025-05-31,160+017,160+017,1
Limpieza de Placas de Señalización Vertical T2,m2,2025-10-28,159+852,159+852,0.5625
Limpieza Residuos Sólidos / Basuras,m2,2025-11-04,159+700,159+800,200
Limpieza Residuos Sólidos / Basuras,m2,2025-11-04,159+800,159+900,200
Limpieza Manual de Cabezal de Alcantarilla T2,ml,2025-11-26,159+720,159+720,14
Desbroce Manual T2,m2,2025-12-25,159+800,160+000,1200
Limpieza Manual de Cuneta de Vía T2,ml,2025-12-25,159+800,160+000,200
Limpieza de Juntas en Cunetas y Bermas,ml,2025-12-25,159+800,160+000,113.33333333333333
Limpieza Manual de Cabezal de Alcantarilla T2,ml,2026-03-01,159+950,,14
Limpieza Manual de Cabezal de Alcantarilla T2,ml,2026-03-09,159+722,159+726,14
Limpieza de Postes de Señalización Vertical T2,und,2026-03-09,159+750,159+750,1
Limpieza de Postes de Señalización Vertical T2,und,2026-03-09,159+934,159+934,1
Limpieza de Postes de Señalización Vertical T2,und,2026-03-10,160+017,160+017,1
Limpieza Manual de Cabezal de Alcantarilla T2,ml,2026-03-19,159+720,,15
