Descripción,Unidad,Fecha,INICIO (KM),FIN (KM),METRADO
Limpieza de carril/pista y bermas T2,m2,2018-01-01,214+600,214+620,10
Limpieza mecanizada de cabezal de alcantarilla T2,m3,2018-01-02,214+590,214+600,45
Limpieza Mecanizada de Cabezal de Alcantarilla,m3,2018-01-27,214+590,214+600,30
Limpieza Mecanizada de Cabezal de Alcantarilla,m3,2018-01-28,214+590,214+600,75
Limpieza Manual de Cuerpo de Alcantarilla T2,ml,2018-02-05,214+580,214+600,20
Limpieza Manual de Cuerpo de Alcantarilla T2,ml,2018-02-06,214+580,214+600,20
Remocion de Derrumbes T2,m3,2018-02-07,214+580,214+600,60
Remocion de Derrumbes T2,m3,2018-02-14,214+580,214+600,15
Remocion de Derrumbes T2,m3,2018-02-15,214+580,214+600,45
Remocion de Derrumbes T2,m3,2018-02-16,214+580,214+600,60
Limpieza de carril/pista y bermas T2,m2,2018-03-18,214+600,214+620,20
Limpieza Manual de Cuneta de Vía T2,ml,2018-03-25,214+590,214+600,10
Remocion de Derrumbes T2,m3,2018-03-27,214+580,214+600,150
Remocion de Derrumbes T2,m3,2018-03-27,214+580,214+600,150
Remocion de Derrumbes T2,m3,2018-04-10,214+580,214+600,30
Limpieza de Deslizamientos Menores < 15 m3 T2,m3,2018-04-15,214+600,214+620,15
Limpieza de carril/pista y bermas T2,m2,2018-05-13,214+600,214+630,30
Limpieza Manual de Cuneta de Vía T2,ml,2018-05-20,214+600,,16
Limpieza de juntas de cuneta de vía,ml,2018-05-20,214+600,,9.066666666666666
Limpieza de carril/pista y bermas T2,m2,2018-06-02,214+600,214+620,20
Limpieza de carril/pista y bermas T2,m2,2018-06-17,214+600,214+630,30
Limpieza de carril/pista y bermas T2,m2,2018-06-23,214+600,214+620,20
Limpieza de carril/pista y bermas T2,m2,2018-06-24,214+620,214+630,10
Limpieza de carril/pista y bermas T2,m2,2018-06-27,214+600,214+620,30
Repintado de Parapetos Muros T2,m2,2018-07-23,214+580,214+595,7.8
Limpieza de carril/pista y bermas T2,m2,2018-08-04,214+600,214+630,30
Limpieza de carril/pista y bermas T2,m2,2018-08-05,214+600,214+630,30
Limpieza Manual de Cuneta de Vía T2,ml,2018-08-06,214+580,214+620,400
Limpieza mecanizada de cabezal de alcantarilla T2,m3,2018-08-10,214+590,214+600,30
Limpieza Manual de Cuneta de Vía T2,ml,2018-08-18,214+600,214+620,20
Limpieza de carril/pista y bermas T2,m2,2018-08-25,214+580,214+620,50
Limpieza de carril/pista y bermas T2,m2,2018-08-26,214+600,214+620,80
Limpieza de carril/pista y bermas T2,m2,2018-08-30,214+600,214+620,20
Limpieza de carril/pista y bermas T2,m2,2018-09-16,214+600,214+630,30
Limpieza mecanizada de cabezal de alcantarilla T2,m3,2018-09-16,214+600,214+610,15
Limpieza de carril/pista y bermas T2,m2,2018-09-18,214+600,214+620,50
Limpieza de carril/pista y bermas T2,m2,2018-09-29,214+600,214+620,20
Limpieza de carril/pista y bermas T2,m2,2018-11-15,214+600,214+620,10
Limpieza Manual de Cuneta de Vía T2,ml,2018-12-28,214+600,214+630,30
Limpieza de carril/pista y bermas T2,m2,2019-02-01,214+620,214+630,144
Limpieza de carril/pista y bermas T2,m2,2019-02-03,214+600,214+610,10
Limpieza de carril/pista y bermas T2,m2,2019-02-20,214+600,214+620,20
Remocion de Derrumbes T2,m3,2019-03-01,214+600,214+620,45
Remocion de Derrumbes T2,m3,2019-03-04,214+600,214+620,90
Remocion de Derrumbes T2,m3,2019-03-05,214+600,214+620,135
Limpieza de carril/pista y bermas T2,m2,2019-03-09,214+600,214+620,72
Remocion de Derrumbes T2,m3,2019-03-19,214+580,214+600,480
Remocion de Derrumbes T2,m3,2019-03-19,214+580,214+600,120
Remocion de Derrumbes T2,m3,2019-03-19,214+580,214+600,90
Remocion de Derrumbes T2,m3,2019-03-19,214+580,214+600,15
Limpieza de carril/pista y bermas T2,m2,2019-03-19,214+600,214+620,72
Limpieza de carril/pista y bermas T2,m2,2019-03-19,214+600,214+620,72
Limpieza de Deslizamientos Menores < 15 m3 T2,m3,2019-03-25,214+580,214+600,15
Limpieza de carril/pista y bermas T2,m2,2019-05-11,214+600,214+620,72
Limpieza Manual de Cuneta de Vía T2,ml,2019-11-03,214+600,214+630,30
Limpieza mecanizada de cabezal de alcantarilla T2,m3,2019-11-04,214+580,214+590,15
Limpieza Manual de Cabezal de Alcantarilla T2,ml,2020-01-18,214+600,214+610,10
Limpieza Manual de Cuerpo de Alcantarilla T2,ml,2020-02-03,214+580,214+590,10
Limpieza Manual de Cabezal de Alcantarilla T2,ml,2020-02-03,214+580,214+590,20
Reparación Parcial de Guarda Vías T2,ml,2020-03-05,214+620,,3
Reposición de capta faros (ojo de gato) T2,ml,2020-03-05,214+620,,1
Limpieza de carril/pista y bermas T2,m2,2020-05-13,214+600,214+620,72
Limpieza de carril/pista y bermas T2,m2,2020-05-16,214+620,214+624,14.4
Limpieza de carril/pista y bermas T2,m2,2020-06-05,214+600,214+630,33.6
Limpieza mecanizada de cabezal de alcantarilla T2,m3,2020-06-13,214+600,214+610,45
Limpieza mecanizada de cabezal de alcantarilla T2,m3,2020-09-18,214+590,214+600,15
Limpieza mecanizada de cabezal de alcantarilla T2,m3,2020-11-21,214+590,214+620,60
Limpieza mecanizada de cabezal de alcantarilla T2,m3,2020-11-22,214+590,214+620,30
Limpieza Manual de Cuneta de Vía T2,ml,2020-11-29,214+600,214+620,20
Limpieza de Juntas en Cunetas y Bermas,ml,2020-11-29,214+600,214+620,11.333333333333334
Limpieza Manual de Cabezal de Alcantarilla T2,ml,2020-12-02,214+580,214+585,25
Limpieza de carril/pista y bermas T2,m2,2021-01-31,214+600,,3
Limpieza mecanizada de cabezal de alcantarilla T2,m3,2021-02-05,214+590,214+590,30
Limpieza de Deslizamientos Menores < 15 m3 T2,m3,2021-02-20,214+600,214+630,15
Limpieza Manual de Cabezal de Alcantarilla T2,ml,2021-02-20,214+600,214+605,12
Limpieza de carril/pista y bermas T2,m2,2021-02-21,214+610,214+630,72
Limpieza Manual de Cuneta de Vía T2,ml,2021-04-03,214+610,214+615,5
Limpieza de carril/pista y bermas T2,m2,2021-04-24,214+600,214+630,50
Limpieza Manual de Cuneta de Vía T2,ml,2021-05-23,214+600,214+630,30
Limpieza de Juntas en Cunetas y Bermas,ml,2021-05-23,214+600,214+630,17
Limpieza Manual de Cuerpo de Alcantarilla T2,ml,2021-06-02,214+580,214+590,10
Remocion de Derrumbes T2,m3,2021-06-11,214+580,214+620,30
Remocion de Derrumbes T2,m3,2021-06-12,214+580,214+620,195
Remocion de Derrumbes T2,m3,2021-06-15,214+580,214+620,15
Remocion de Derrumbes T2,m3,2021-06-16,214+580,214+620,60
Limpieza de Deslizamientos Menores < 15 m3 T2,m3,2021-06-25,214+580,214+600,20
Limpieza Manual de Cuneta de Vía T2,ml,2021-06-26,214+580,214+620,20
Limpieza de Deslizamientos Menores < 15 m3 T2,m3,2021-06-27,214+580,214+620,15
Remocion de Derrumbes T2,m3,2021-06-28,214+580,214+620,405
Limpieza de carril/pista y bermas T2,m2,2021-07-04,214+600,214+620,20
Remocion de Derrumbes T2,m3,2021-07-06,214+580,214+620,75
