Descripción,Unidad,Fecha,INICIO (KM),FIN (KM),METRADO
Remocion de Derrumbes T2,m3,2021-07-07,214+580,214+620,60
Remocion de Derrumbes T2,m3,2021-07-08,214+580,214+620,60
Limpieza Residuos Solidos / Basuras,m2,2021-07-18,214+600,214+630,30
Limpieza mecanizada de cabezal de alcantarilla T2,m3,2021-07-19,214+580,,60
Limpieza Residuos Solidos / Basuras,m2,2021-07-28,214+600,214+620,20
Limpieza Manual de Cuneta de Vía T2,ml,2021-08-04,214+580,214+596,16
Limpieza de carril/pista y bermas T2,m2,2021-08-08,214+600,214+620,72
Limpieza de carril/pista y bermas T2,m2,2021-08-26,214+600,214+620,60
Limpieza mecanizada de cabezal de alcantarilla T2,m3,2021-09-02,214+580,214+590,160
Limpieza Manual de Cuneta de Vía T2,ml,2021-09-05,214+600,214+620,20
Limpieza de Deslizamientos Menores < 15 m3 T2,m3,2021-09-16,214+600,214+620,20
Limpieza de carril/pista y bermas T2,m2,2021-09-28,214+600,214+620,20
Limpieza Manual de Cuerpo de Alcantarilla T2,ml,2021-10-01,214+580,,13
Limpieza Manual de Cuerpo de Alcantarilla T2,ml,2021-10-04,214+580,214+590,10
Reposición de Señalización Vertical T2,m2,2021-10-14,214+629,,0.5625
Limpieza de carril/pista y bermas T2,m2,2021-11-01,214+600,214+620,20
Limpieza mecanizada de cabezal de alcantarilla T2,m3,2021-11-02,214+580,214+590,15
Limpieza de carril/pista y bermas T2,m2,2021-11-12,214+590,214+620,40
Limpieza de carril/pista y bermas T2,m2,2022-01-15,214+600,214+620,60
Limpieza de carril/pista y bermas T2,m2,2022-02-06,214+600,214+620,20
Limpieza de Deslizamientos Menores < 15 m3 T2,m3,2022-02-12,214+600,214+620,70
Limpieza de carril/pista y bermas T2,m2,2022-05-08,214+600,214+620,20
Limpieza Manual de Cuneta de Vía T2,ml,2022-05-15,214+600,214+620,20
Limpieza de carril/pista y bermas T2,m2,2022-07-24,214+600,214+620,50
Limpieza Manual de Cuneta de Vía T2,ml,2022-07-31,214+600,214+620,20
Limpieza de carril/pista y bermas T2,m2,2022-08-21,214+600,214+620,20
Limpieza Manual de Cuneta de Vía T2,ml,2022-09-04,214+600,214+620,20
Limpieza de Juntas en Cunetas y Bermas,ml,2022-09-04,214+600,214+620,11.333333333333334
Limpieza de carril/pista y bermas T2,m2,2022-09-05,214+600,214+630,30
Limpieza mecanizada de cabezal de alcantarilla T2,m3,2022-09-17,214+580,214+584,15
Limpieza Manual de Cuneta de Vía T2,ml,2022-10-15,214+600,214+630,30
Limpieza mecanizada de cabezal de alcantarilla T2,m3,2022-11-25,214+610,,15
Limpieza Manual de Cuerpo de Alcantarilla T2,ml,2022-12-06,214+610,,11
Limpieza Manual de Cuneta de Vía T2,ml,2022-12-10,214+600,214+630,30
Limpieza de carril/pista y bermas T2,m2,2022-12-11,214+600,214+620,20
Limpieza de carril/pista y bermas T2,m2,2022-12-20,214+600,214+620,20
Limpieza de Deslizamientos Menores < 15 m3 T2,m3,2022-12-24,214+600,214+610,15
Limpieza Manual de Cuneta de Vía T2,ml,2023-03-05,214+610,214+630,30
Limpieza de carril/pista y bermas T2,m2,2023-05-07,214+600,214+620,60
Limpieza Manual de Cuneta de Vía T2,ml,2023-05-28,214+600,214+630,50
Limpieza Manual de Cuneta de Vía T2,ml,2023-06-11,214+600,214+630,30
Limpieza mecanizada de cabezal de alcantarilla T2,m3,2023-06-28,214+600,214+610,18
Remocion de Derrumbes T2,m3,2023-12-12,214+600,214+630,285
Remocion de Derrumbes T2,m3,2023-12-27,214+600,214+630,150
Limpieza de carril/pista y bermas T2,m2,2023-12-30,214+600,214+630,30
Limpieza de carril/pista y bermas T2,m2,2023-12-31,214+600,214+630,30
Remocion de Derrumbes T2,m3,2024-01-01,214+600,214+630,90
Limpieza de carril/pista y bermas T2,m2,2024-01-07,214+600,214+630,30
Remocion de Derrumbes T2,m3,2024-01-30,214+600,214+630,90
Remocion de Derrumbes T2,m3,2024-01-31,214+600,214+630,90
Limpieza de carril/pista y bermas T2,m2,2024-01-31,214+600,214+630,60
Remocion de Derrumbes T2,m3,2024-02-17,214+600,214+620,60
Remocion de Derrumbes T2,m3,2024-03-27,214+600,214+620,135
Remocion de Derrumbes T2,m3,2024-03-28,214+600,214+620,105
Remocion de Derrumbes T2,m3,2024-03-29,214+600,214+620,75
Remocion de Derrumbes T2,m3,2024-05-01,214+600,214+620,15
Limpieza Manual de Cuerpo de Alcantarilla T2,ml,2024-05-01,214+600,214+610,14
Limpieza de carril/pista y bermas T2,m2,2024-05-01,214+600,214+620,80
Limpieza de carril/pista y bermas T2,m2,2024-05-03,214+600,214+630,80
Reparación de las Estructuras de Contención (gabión) T2,m3,2024-07-19,214+600,,0.1
Tratamiento de Fisuras T2,m2,2024-07-19,214+600,,8
Limpieza de Superfície de Concreto y Dispos. Drenaje T2,ml,2024-07-19,214+600,,10
Limpieza Manual de Cuneta de Vía T2,ml,2024-07-19,214+600,,120
Limpieza mecanizada de cabezal de alcantarilla T2,m3,2025-02-08,214+590,214+600,15
Limpieza Manual de Cuneta de Vía T2,ml,2025-05-16,214+580,214+630,50
Limpieza Manual de Cabezal de Alcantarilla T2,ml,2025-05-16,214+580,214+590,14
Remocion de Derrumbes T2,m3,2025-05-21,214+580,214+600,225
Remocion de Derrumbes T2,m3,2025-06-03,214+580,214+600,180
Limpieza de carril/pista y bermas T2,m2,2025-08-04,214+580,214+630,200
Limpieza mecanizada de cabezal de alcantarilla T2,m3,2025-08-11,214+580,214+590,20
Limpieza Manual de Cuneta de Vía T2,ml,2025-08-29,214+580,214+630,50
Limpieza Manual de Cabezal de Alcantarilla T2,ml,2025-08-29,214+580,214+630,14
Limpieza de Cajas de Inspección Subdren T2,und,2025-08-29,214+580,214+630,1
Limpieza Manual / Mecanizada T2,ml,2025-08-29,214+580,214+630,26
Limpieza mecanizada de cabezal de alcantarilla T2,m3,2025-09-13,214+580,214+590,20
Limpieza de carril/pista y bermas T2,m2,2025-10-07,214+580,214+620,120
Limpieza de Deslizamientos Menores < 15 m3 T2,m3,2026-01-05,214+580,214+620,15
Limpieza mecanizada de cabezal de alcantarilla T2,m3,2026-01-09,214+580,214+590,45
Limpieza mecanizada de cabezal de alcantarilla T2,m3,2026-02-16,214+580,214+600,30
Remocion de Derrumbes T2,m3,2026-03-06,214+580,214+600,120
Remocion de Derrumbes T2,m3,2026-03-09,214+580,214+600,60
