Descripción,Unidad,Fecha,INICIO (KM),FIN (KM),METRADO
Remocion de Derrumbes T2,m3,2019-03-19,125+400,125+430,144
Remocion de Derrumbes T2,m3,2019-03-19,125+400,125+430,84
Remocion de Derrumbes T2,m3,2019-03-19,125+400,125+430,72
Remocion de Derrumbes T2,m3,2019-03-19,125+400,125+430,120
Remocion de Derrumbes T2,m3,2019-03-19,125+400,125+430,156
Remocion de Derrumbes T2,m3,2019-03-19,125+400,125+420,72
Remocion de Derrumbes T2,m3,2019-03-19,125+400,125+420,96
Remocion de Derrumbes T2,m3,2019-03-19,125+400,125+430,36
Remocion de Derrumbes T2,m3,2019-03-20,125+400,125+430,300
Remocion de Derrumbes T2,m3,2019-03-23,125+400,125+430,60
Remocion de Derrumbes T2,m3,2019-03-24,125+400,125+430,60
Remocion de Derrumbes T2,m3,2019-03-25,125+400,125+430,36
Remocion de Derrumbes T2,m3,2019-12-26,125+400,125+420,60
Remocion de Derrumbes T2,m3,2020-01-06,125+440,125+455,45
Remocion de Derrumbes T2,m3,2020-01-08,125+420,125+455,15
Limpieza de los Dispositivos de Drenaje (de muros) T2,m2,2020-01-08,125+420,125+450,600
Remocion de Derrumbes T2,m3,2020-01-09,125+420,125+455,435
Remocion de Derrumbes T2,m3,2020-01-15,125+440,125+455,24
Remocion de Derrumbes T2,m3,2020-01-16,125+440,125+455,60
Remocion de Derrumbes T2,m3,2020-01-17,125+440,125+455,30
Remocion de Derrumbes T2,m3,2020-02-06,125+440,125+455,30
Remocion de Derrumbes T2,m3,2020-02-07,125+440,125+455,12
Remocion de Derrumbes T2,m3,2020-02-18,125+440,125+455,165
Remocion de Derrumbes T2,m3,2020-02-20,125+440,125+455,30
Remocion de Derrumbes T2,m3,2020-03-09,125+420,125+435,75
Limpieza de carril/pista y bermas T2,m2,2020-03-15,125+400,125+420,32.4
Limpieza Manual de Cuneta de Vía T2,ml,2020-04-20,125+420,125+480,600
Pintura Chevron Guarda Vías T2,m2,2020-08-13,125+400,125+431,14
Reposición de Defensas Averiadas T2,ml,2020-08-13,125+410,125+431,28
Reposición de Defensas Averiadas T2,ml,2020-08-14,125+410,125+431,0
Limpieza de Deslizamientos Menores < 15 m3 T2,m3,2020-08-17,125+430,125+455,20
Reparaciones Parciales de Veredas Parapetos Bordillos T2,m2,2020-08-18,125+300,125+400,5
Reparación de las Estructuras de Contención (gabión) T2,m3,2020-08-19,125+430,125+455,1
Reparaciones Parciales de Veredas Parapetos Bordillos T2,m2,2020-08-20,125+400,125+500,0.72
Reparaciones Parciales de Veredas Parapetos Bordillos T2,m2,2020-08-21,125+360,125+420,10
Remocion de Derrumbes T2,m3,2020-08-22,125+450,125+500,240
Remocion de Derrumbes T2,m3,2020-08-23,125+450,125+500,210
Reparación de las Estructuras de Contención (gabión) T2,m3,2020-08-25,125+430,125+455,30
Reparación de las Estructuras de Contención (gabión) T2,m3,2020-08-26,125+430,125+455,10
Reparación de las Estructuras de Contención (gabión) T2,m3,2020-08-26,125+430,125+455,20
Reparación de las Estructuras de Contención (gabión) T2,m3,2020-08-27,125+430,125+455,20
Reparación de las Estructuras de Contención (gabión) T2,m3,2020-08-27,125+430,125+455,30
Reparación Parcial de Barandas Metálicas T2,ml,2020-09-23,125+400,125+500,100
Repintado de Parapetos Muros T2,m2,2020-09-23,125+400,125+500,5
Limpieza Manual de Cuneta de Vía T2,ml,2020-10-06,125+300,125+450,150
Limpieza de Juntas en Cunetas y Bermas,ml,2020-10-06,125+300,125+450,85
Limpieza Manual de Cuneta de Vía T2,ml,2020-11-19,125+394,125+495,90
Limpieza de Guardavías T2,ml,2020-11-19,125+394,125+495,90
Limpieza de Cajas de Inspección Subdren T2,und,2020-11-19,125+394,125+495,2
Reparaciones Parciales de Veredas Parapetos Bordillos T2,m2,2020-11-19,125+394,125+495,20
Reparación de las Estructuras de Contención (gabión) T2,m3,2020-11-19,125+394,125+495,1
Limpieza Manual de Cuneta de Vía T2,ml,2020-12-09,125+400,125+500,20
Limpieza de Juntas en Cunetas y Bermas,ml,2020-12-09,125+400,125+500,11.333333333333334
Reparación de las Estructuras de Contención (gabión) T2,m3,2020-12-09,125+400,125+500,1
Reparaciones Parciales de Veredas Parapetos Bordillos T2,m2,2020-12-09,125+400,125+500,0.5
Reparación de las Estructuras de Contención (gabión) T2,m3,2021-01-15,125+394,125+495,1
Limpieza de Parapetos Veredas de Concreto T2,m2,2021-01-15,125+394,125+495,15
Limpieza de Superfície de Concreto y Dispos. Drenaje T2,ml,2021-01-15,125+394,125+495,20
Limpieza de Cajas de Inspección Subdren T2,und,2021-01-18,125+394,125+495,4
Limpieza Manual de Cuneta de Vía T2,ml,2021-01-18,125+394,125+495,35
Limpieza Manual de Zanjas de Coronación T2,ml,2021-01-18,125+394,125+495,60
Limpieza de Superfície de Concreto y Dispos. Drenaje T2,ml,2021-01-18,125+394,125+495,3
Reparación de las Estructuras de Contención (gabión) T2,m3,2021-02-21,125+394,125+495,1
Limpieza Manual de Zanjas de Coronación T2,ml,2021-02-21,125+394,125+495,70
Limpieza de Cajas de Inspección Subdren T2,und,2021-02-21,125+394,125+495,4
Limpieza de Cajas de Inspección Subdren T2,und,2021-02-21,125+394,125+495,3
Limpieza de Superfície de Concreto y Dispos. Drenaje T2,ml,2021-02-21,125+394,125+495,25
Limpieza de Superfície de Concreto y Dispos. Drenaje T2,ml,2021-03-17,125+394,125+495,20
Limpieza Manual de Cuneta de Vía T2,ml,2021-03-17,125+394,125+495,25
Reparación de las Estructuras de Contención (gabión) T2,m3,2021-03-17,125+394,125+495,1
Limpieza de Cajas de Inspección Subdren T2,und,2021-03-17,125+394,125+495,3
Limpieza Manual de Zanjas de Coronación T2,ml,2021-03-17,125+394,125+495,60
Limpieza de Cajas de Inspección Subdren T2,und,2021-03-17,125+394,125+495,1
Limpieza Manual de Cabezal de Alcantarilla T2,ml,2021-03-20,125+450,125+470,72
Limpieza de carril/pista y bermas T2,m2,2021-04-11,125+450,125+460,10
Limpieza Manual de Cuneta de Vía T2,ml,2021-04-17,125+450,125+470,20
Limpieza Manual de Zanjas de Coronación T2,ml,2021-04-20,125+394,125+495,101
Limpieza Manual de Cuneta de Vía T2,ml,2021-04-20,125+394,125+495,101
Limpieza Manual de Zanjas de Coronación T2,ml,2021-04-20,125+400,125+495,95
Limpieza Manual de Zanjas de Coronación T2,ml,2021-05-20,125+394,125+495,101
Limpieza Manual de Zanjas de Coronación T2,ml,2021-05-20,125+400,125+495,95
Limpieza Manual de Zanjas de Coronación T2,ml,2021-06-18,125+394,125+495,101
Limpieza Manual de Zanjas de Coronación T2,ml,2021-06-18,125+400,125+430,30
Reparación de las Estructuras de Contención (gabión) T2,m3,2021-06-18,125+400,125+495,1
Reparación de las Estructuras de Contención (gabión) T2,m3,2021-08-19,125+394,125+495,1
Limpieza de Parapetos Veredas de Concreto T2,m2,2021-08-19,125+394,125+495,3.5999999999999996
Limpieza Manual de Zanjas de Coronación T2,ml,2021-08-19,125+394,125+495,76
Limpieza Manual de Zanjas de Coronación T2,ml,2021-08-19,125+394,125+495,100
Limpieza Manual de Zanjas de Coronación T2,ml,2021-08-19,125+394,125+495,70
Limpieza de Superfície de Concreto y Dispos. Drenaje T2,ml,2021-08-19,125+394,125+495,10
Limpieza de Superfície de Concreto y Dispos. Drenaje T2,ml,2021-08-19,125+495,125+495,45
Limpieza de Cajas de Inspección Subdren T2,und,2021-09-17,125+394,125+495,1
Limpieza de Cajas de Inspección Subdren T2,und,2021-09-17,125+394,125+495,1
Limpieza Manual de Zanjas de Coronación T2,ml,2021-09-17,125+394,125+495,32
Limpieza de Cajas de Inspección Subdren T2,und,2021-09-17,125+394,125+495,12
Limpieza de carril/pista y bermas T2,m2,2021-10-15,125+310,125+350,40
Limpieza Manual de Cuneta de Vía T2,ml,2021-10-15,125+365,125+385,20
Limpieza de Superfície de Concreto y Dispos. Drenaje T2,ml,2021-10-18,125+394,125+495,12
Reparación de las Estructuras de Contención (gabión) T2,m3,2021-10-18,125+394,125+495,0.5
Limpieza Manual de Zanjas de Coronación T2,ml,2021-10-18,125+394,125+495,62
Limpieza Manual de Zanjas de Coronación T2,ml,2021-10-18,125+394,125+495,120
Limpieza Manual de Zanjas de Coronación T2,ml,2021-10-18,125+394,125+495,75
Limpieza Manual de Cuneta de Vía T2,ml,2021-10-18,125+394,125+495,101
Limpieza de Superfície de Concreto y Dispos. Drenaje T2,ml,2021-10-18,125+394,125+495,100
Limpieza de Superfície de Concreto y Dispos. Drenaje T2,ml,2021-10-18,125+394,125+495,101
Reposición de Tachas Reflectivas T2,und,2021-11-09,125+414,125+446,30
Limpieza Manual de Zanjas de Coronación T2,ml,2021-11-18,125+394,125+495,42
Limpieza de Cajas de Inspección Subdren T2,und,2021-12-14,125+300,125+450,2
Limpieza de Superfície de Concreto y Dispos. Drenaje T2,ml,2021-12-14,125+300,125+450,12
Limpieza Manual de Zanjas de Coronación T2,ml,2021-12-14,125+300,125+450,25
Limpieza Manual de Zanjas de Coronación T2,ml,2021-12-14,125+300,125+450,30
Limpieza Manual de Zanjas de Coronación T2,ml,2021-12-14,125+300,125+450,20
Reparación de las Estructuras de Contención (gabión) T2,m3,2021-12-14,125+300,125+450,0.5
Limpieza de Superfície de Concreto y Dispos. Drenaje T2,ml,2021-12-14,125+300,125+450,12
Limpieza Manual de Cuneta de Vía T2,ml,2021-12-14,125+300,125+450,14
Limpieza de Cajas de Inspección Subdren T2,und,2022-01-13,125+394,125+495,2
Limpieza de Cajas de Inspección Subdren T2,und,2022-01-13,125+394,125+495,4
Limpieza de Cajas de Inspección Subdren T2,und,2022-01-13,125+394,125+495,2
Limpieza de Superfície de Concreto y Dispos. Drenaje T2,ml,2022-01-13,125+394,125+495,16
Reparación de las Estructuras de Contención (gabión) T2,m3,2022-01-13,125+394,125+495,0.5
Reparación de las Estructuras de Contención (gabión) T2,m3,2022-01-13,125+394,125+495,0.5
Limpieza Manual de Zanjas de Coronación T2,ml,2022-01-13,125+394,125+495,12
Limpieza de Superfície de Concreto y Dispos. Drenaje T2,ml,2022-01-13,125+394,125+495,10
Limpieza Manual de Cuneta de Vía T2,ml,2022-01-13,125+394,125+495,2
Reparación Parcial de Delineador T2,und,2022-01-16,125+360,125+400,7
Limpieza Manual de Cuneta de Vía T2,ml,2022-01-21,125+400,125+450,50
Limpieza de carril/pista y bermas T2,m2,2022-01-21,125+400,125+450,50
Reparación de las Estructuras de Contención (gabión) T2,m3,2022-02-10,125+349,125+495,0.5
Limpieza Manual de Cuneta de Vía T2,ml,2022-02-10,125+394,125+495,18
Limpieza de Cajas de Inspección Subdren T2,und,2022-02-10,125+394,125+495,2
Limpieza de Superfície de Concreto y Dispos. Drenaje T2,ml,2022-02-10,125+394,125+495,18
Limpieza de Superfície de Concreto y Dispos. Drenaje T2,ml,2022-02-10,125+394,125+495,12
Limpieza Manual de Zanjas de Coronación T2,ml,2022-02-10,125+394,125+495,40
Limpieza Manual de Cuneta de Vía T2,ml,2022-03-01,125+425,125+425,15
Limpieza de Deslizamientos Menores < 15 m3 T2,m3,2022-03-01,125+430,125+440,15
Limpieza de carril/pista y bermas T2,m2,2022-03-15,125+450,125+495,45
Limpieza de Cajas de Inspección Subdren T2,und,2022-03-16,125+394,125+495,2
Limpieza de Cajas de Inspección Subdren T2,und,2022-03-16,125+394,125+445,1
Limpieza Manual de Cuneta de Vía T2,ml,2022-03-16,125+394,125+495,55
Limpieza Manual de Cuneta de Vía T2,ml,2022-03-16,125+394,125+495,9
Limpieza de Superfície de Concreto y Dispos. Drenaje T2,ml,2022-03-16,125+394,125+495,6
Limpieza de Superfície de Concreto y Dispos. Drenaje T2,ml,2022-03-16,125+394,125+495,14
Limpieza de Superfície de Concreto y Dispos. Drenaje T2,ml,2022-03-16,125+394,125+495,8
Limpieza de Superfície de Concreto y Dispos. Drenaje T2,ml,2022-03-16,125+394,125+495,14
Limpieza de Deslizamientos Menores < 15 m3 T2,m3,2022-03-16,125+445,125+495,14
Reparación de las Estructuras de Contención (gabión) T2,m3,2022-03-17,125+445,125+495,0.5
Remocion de Derrumbes T2,m3,2022-03-18,125+440,125+500,75
Remocion de Derrumbes T2,m3,2022-03-19,125+440,125+500,60
Limpieza de Deslizamientos Menores < 15 m3 T2,m3,2022-03-20,125+445,125+495,14
Limpieza de Superfície de Concreto y Dispos. Drenaje T2,ml,2022-04-13,125+394,125+495,8
Limpieza de Superfície de Concreto y Dispos. Drenaje T2,ml,2022-04-13,125+394,125+495,12
Reparación de las Estructuras de Contención (gabión) T2,m3,2022-04-13,125+394,125+495,0.5
Reparación de las Estructuras de Contención (gabión) T2,m3,2022-06-27,125+394,125+495,0.5
Limpieza Manual de Cuneta de Vía T2,ml,2022-06-27,125+394,125+495,6
Reparación de las Estructuras de Contención (gabión) T2,m3,2022-07-05,125+394,125+495,0.5
Limpieza de Cajas de Inspección Subdren T2,und,2022-07-08,125+495,125+394,1
Limpieza Manual de Zanjas de Coronación T2,ml,2022-07-08,125+495,125+394,13
Limpieza de Superfície de Concreto y Dispos. Drenaje T2,ml,2022-07-08,125+495,125+394,12
Limpieza de Superfície de Concreto y Dispos. Drenaje T2,ml,2022-07-08,125+495,125+394,10
Limpieza de Superfície de Concreto y Dispos. Drenaje T2,ml,2022-07-08,125+495,125+394,8
Limpieza Manual de Cuneta de Vía T2,ml,2022-08-03,125+394,125+495,6
Limpieza de carril/pista y bermas T2,m2,2022-08-11,125+452,125+495,45
Reparación de las Estructuras de Contención (gabión) T2,m3,2022-09-01,125+394,125+495,0.5
Limpieza Manual de Zanjas de Coronación T2,ml,2022-09-01,125+399,125+495,120
Limpieza Manual de Zanjas de Coronación T2,ml,2022-09-01,125+399,125+495,50
Limpieza de Superfície de Concreto y Dispos. Drenaje T2,ml,2022-09-01,125+399,125+495,8
Limpieza de Cajas de Inspección Subdren T2,und,2022-09-01,125+399,125+445,3
Limpieza de Superfície de Concreto y Dispos. Drenaje T2,ml,2022-11-02,125+394,125+495,10
Limpieza Manual de Cuneta de Vía T2,ml,2022-11-02,125+394,125+495,8
Reparación de las Estructuras de Contención (gabión) T2,m3,2022-12-01,125+394,125+495,0.1
Reparación de las Estructuras de Contención (gabión) T2,m3,2022-12-01,125+394,125+495,0.1
Reparación de las Estructuras de Contención (gabión) T2,m3,2022-12-01,125+394,125+445,0.1
Reparación de las Estructuras de Contención (gabión) T2,m3,2022-12-01,125+394,125+495,0.1
Reparación de las Estructuras de Contención (gabión) T2,m3,2022-12-01,125+400,125+490,0.1
Reparación de las Estructuras de Contención (gabión) T2,m3,2022-12-01,125+400,125+490,0.1
Reparación de las Estructuras de Contención (gabión) T2,m3,2022-12-01,125+400,125+490,0.1
Reparación de las Estructuras de Contención (gabión) T2,m3,2022-12-01,125+400,125+490,0.1
Limpieza de Superfície de Concreto y Dispos. Drenaje T2,ml,2022-12-21,125+394,125+495,18
Reparación de las Estructuras de Contención (gabión) T2,m3,2022-12-21,125+394,125+495,0.1
Limpieza Manual de Cuneta de Vía T2,ml,2022-12-21,125+394,125+495,6
Reparación de las Estructuras de Contención (gabión) T2,m3,2023-01-03,125+495,125+395,0.1
Limpieza de Superfície de Concreto y Dispos. Drenaje T2,ml,2023-01-05,125+349,125+495,16
Limpieza de Cajas de Inspección Subdren T2,und,2023-01-05,125+394,125+495,2
Limpieza de Cajas de Inspección Subdren T2,und,2023-01-05,125+394,125+495,1
Limpieza de Superfície de Concreto y Dispos. Drenaje T2,ml,2023-01-05,125+394,125+495,30
Limpieza Manual de Cuneta de Vía T2,ml,2023-01-05,125+399,125+495,12
Limpieza Manual de Cuneta de Vía T2,ml,2023-01-06,125+394,125+495,12
Limpieza Manual de Zanjas de Coronación T2,ml,2023-02-13,125+394,125+495,101
Limpieza Manual de Zanjas de Coronación T2,ml,2023-02-13,125+394,125+495,50
Limpieza Manual de Zanjas de Coronación T2,ml,2023-02-13,125+394,125+495,150
Limpieza Manual de Zanjas de Coronación T2,ml,2023-02-13,125+394,125+495,180
Limpieza Manual de Zanjas de Coronación T2,ml,2023-02-13,125+394,125+495,120
Limpieza de Superfície de Concreto y Dispos. Drenaje T2,ml,2023-02-13,125+394,125+495,105
Limpieza Manual de Zanjas de Coronación T2,ml,2023-02-13,125+394,125+495,140
Limpieza Manual de Zanjas de Coronación T2,ml,2023-02-13,125+394,125+495,80
Limpieza de Cajas de Inspección Subdren T2,und,2023-02-13,125+394,125+495,1
Limpieza de Cajas de Inspección Subdren T2,und,2023-02-13,125+394,125+495,1
Limpieza de Cajas de Inspección Subdren T2,und,2023-02-13,125+394,125+495,1
Reparación de las Estructuras de Contención (gabión) T2,m3,2023-02-13,125+394,125+495,0.1
Limpieza de carril/pista y bermas T2,m2,2023-02-13,125+400,125+410,50
Limpieza Manual de Cuneta de Vía T2,ml,2023-03-06,125+394,125+495,101
Limpieza de Superfície de Concreto y Dispos. Drenaje T2,ml,2023-03-06,125+394,125+495,101
Reparación de las Estructuras de Contención (gabión) T2,m3,2023-03-06,125+399,125+495,0.1
Limpieza Manual de Cuneta de Vía T2,ml,2023-05-24,125+394,125+495,101
Reparación de las Estructuras de Contención (gabión) T2,m3,2023-05-24,125+394,125+495,0.2
Limpieza Manual de Zanjas de Coronación T2,ml,2023-05-24,125+394,125+495,101
Limpieza de Superfície de Concreto y Dispos. Drenaje T2,ml,2023-05-24,125+394,125+495,101
Limpieza Manual de Zanjas de Coronación T2,ml,2023-06-06,125+394,125+495,101
Limpieza de Superfície de Concreto y Dispos. Drenaje T2,ml,2023-06-06,125+395,125+495,120
Pintura o Reaplicación por Aspersión T2,ml,2023-06-19,125+400,125+482,24.599999999999998
Reparación de las Estructuras de Contención (gabión) T2,m3,2023-07-14,125+394,125+420,0.1
Limpieza Manual de Cuneta de Vía T2,ml,2023-07-14,125+394,125+495,101
Limpieza Manual de Zanjas de Coronación T2,ml,2023-07-14,125+394,125+495,80
Limpieza Manual de Zanjas de Coronación T2,ml,2023-07-14,125+394,125+495,60
Limpieza de Cauces T2,ml,2023-07-14,125+394,125+394,8
Limpieza de Guardavías T2,ml,2023-09-08,125+353,125+425,72
Reparación de las Estructuras de Contención (gabión) T2,m3,2023-09-11,125+394,125+495,0.1
Limpieza Manual de Cuneta de Vía T2,ml,2023-09-11,125+394,125+495,101
Limpieza de Deslizamientos Menores < 15 m3 T2,m3,2023-09-13,125+360,125+370,14
Limpieza Manual de Cabezal de Alcantarilla T2,ml,2023-09-13,125+367,125+369,12
Limpieza Manual de Zanjas de Coronación T2,ml,2023-10-12,125+394,125+494,100
Limpieza Manual de Zanjas de Coronación T2,ml,2023-10-12,125+394,125+495,100
Limpieza Manual de Zanjas de Coronación T2,ml,2023-10-12,125+394,125+495,100
Limpieza de Cajas de Inspección Subdren T2,und,2023-10-12,125+394,125+494,2
Limpieza de Cajas de Inspección Subdren T2,und,2023-10-12,125+394,125+494,2
Reparación de las Estructuras de Contención (gabión) T2,m3,2023-10-12,125+394,125+494,0.1
Limpieza de Superfície de Concreto y Dispos. Drenaje T2,ml,2023-10-12,125+394,125+494,14
Limpieza de Superfície de Concreto y Dispos. Drenaje T2,ml,2023-10-12,125+394,125+494,80
Limpieza de Superfície de Concreto y Dispos. Drenaje T2,ml,2023-10-12,125+394,125+495,20
Limpieza Manual de Zanjas de Coronación T2,ml,2024-01-10,125+394,125+495,101
Limpieza de Cajas de Inspección Subdren T2,und,2024-01-10,125+394,125+410,12
Limpieza de Cajas de Inspección Subdren T2,und,2024-01-10,125+394,125+396,13
Limpieza Manual de Zanjas de Coronación T2,ml,2024-02-06,125+394,125+495,101
Limpieza de Cajas de Inspección Subdren T2,und,2024-02-06,125+394,125+394,1
Limpieza de Superfície de Concreto y Dispos. Drenaje T2,ml,2024-02-06,125+394,125+495,10
Reparación de las Estructuras de Contención (gabión) T2,m3,2024-03-14,125+394,125+495,0.1
Limpieza Manual de Zanjas de Coronación T2,ml,2024-03-14,125+394,125+495,101
Limpieza Manual de Cuneta de Vía T2,ml,2024-03-14,125+394,125+495,101
Limpieza de carril/pista y bermas T2,m2,2024-03-28,125+450,125+460,10
Limpieza Manual de Cuneta de Vía T2,ml,2024-04-02,125+430,125+460,30
Remocion de Derrumbes T2,m3,2024-04-08,125+430,125+460,45
Limpieza Manual de Cuneta de Vía T2,ml,2024-04-08,125+430,125+460,30
Limpieza Manual de Zanjas de Coronación T2,ml,2024-05-17,125+394,125+495,100
Limpieza Manual de Zanjas de Coronación T2,ml,2024-05-17,125+394,125+495,40
Limpieza de Superfície de Concreto y Dispos. Drenaje T2,ml,2024-05-17,125+394,125+495,70
Limpieza Manual de Cuneta de Vía T2,ml,2024-06-04,125+394,125+495,101
Limpieza de Superfície de Concreto y Dispos. Drenaje T2,ml,2024-06-04,125+394,125+495,4
Limpieza de Cajas de Inspección Subdren T2,und,2024-06-04,125+394,125+495,3
Limpieza de carril/pista y bermas T2,m2,2024-12-23,125+380,125+450,80
Limpieza Manual de Cuneta de Vía T2,ml,2024-12-23,125+400,125+450,50
Limpieza de carril/pista y bermas T2,m2,2024-12-23,125+400,125+500,100
Limpieza de Deslizamientos Menores < 15 m3 T2,m3,2024-12-28,125+400,125+430,15
Limpieza de Deslizamientos Menores < 15 m3 T2,m3,2024-12-28,125+450,125+470,15
Remocion de Derrumbes T2,m3,2025-01-03,125+420,125+440,24
Limpieza Manual de Cuneta de Vía T2,ml,2025-01-03,125+430,125+450,100
Limpieza de carril/pista y bermas T2,m2,2025-01-04,125+420,125+440,20
Limpieza Manual de Cuneta de Vía T2,ml,2025-01-07,125+394,125+495,50
Limpieza Manual de Cuneta de Vía T2,ml,2025-01-07,125+394,125+495,50
Limpieza Manual de Cuneta de Vía T2,ml,2025-01-07,125+420,125+440,45
Remocion de Derrumbes T2,m3,2025-01-07,125+420,125+440,36
Remocion de Derrumbes T2,m3,2025-01-08,125+420,125+440,36
Remocion de Derrumbes T2,m3,2025-01-09,125+420,125+440,36
Remocion de Derrumbes T2,m3,2025-01-10,125+420,125+440,108
Remocion de Derrumbes T2,m3,2025-01-11,125+420,125+440,120
Remocion de Derrumbes T2,m3,2025-01-12,125+420,125+440,72
Limpieza de carril/pista y bermas T2,m2,2025-01-15,125+400,125+500,200
Reparación de Bache Superficial T2,m2,2025-01-15,125+400,125+450,10
Limpieza Manual de Cuneta de Vía T2,ml,2025-01-15,125+470,125+440,20
