Descripción,Unidad,Fecha,INICIO (KM),FIN (KM),METRADO
Remocion de Derrumbes T2,m3,2018-01-16,125+400,125+450,72
Remocion de Derrumbes T2,m3,2018-01-17,125+400,125+450,144
Remocion de Derrumbes T2,m3,2018-01-18,125+400,125+450,216
Remocion de Derrumbes T2,m3,2018-01-20,125+400,125+450,228
Remocion de Derrumbes T2,m3,2018-01-21,125+400,125+450,108
Remocion de Derrumbes T2,m3,2018-01-22,125+400,125+450,108
Remocion de Derrumbes T2,m3,2018-01-24,125+400,125+450,108
Remocion de Derrumbes T2,m3,2018-02-05,125+400,125+450,96
Remocion de Derrumbes T2,m3,2018-02-08,125+400,125+450,132
Remocion de Derrumbes T2,m3,2018-02-11,125+400,125+450,120
Remocion de Derrumbes T2,m3,2018-02-13,125+400,125+450,72
Remocion de Derrumbes T2,m3,2018-02-14,125+400,125+450,108
Remocion de Derrumbes T2,m3,2018-02-15,125+400,125+450,180
Remocion de Derrumbes T2,m3,2018-02-16,125+400,125+450,120
Remocion de Derrumbes T2,m3,2018-02-20,125+400,125+450,48
Remocion de Derrumbes T2,m3,2018-02-21,125+400,125+450,36
Limpieza Manual de Cuneta de Vía T2,ml,2018-02-22,125+400,125+460,120
Remocion de Derrumbes T2,m3,2018-02-22,125+400,125+450,228
Limpieza de Deslizamientos Menores < 15 m3 T2,m3,2018-02-28,125+400,125+450,25
Limpieza Manual de Cuneta de Vía T2,ml,2018-03-02,125+400,125+440,40
Remocion de Derrumbes T2,m3,2018-03-12,125+400,125+450,168
Remocion de Derrumbes T2,m3,2018-03-13,125+400,125+450,144
Remocion de Derrumbes T2,m3,2018-03-17,125+400,125+450,156
Limpieza Manual de Cuneta de Vía T2,ml,2018-03-19,125+390,125+500,110
Remocion de Derrumbes T2,m3,2018-03-20,125+400,125+450,216
Limpieza Manual de Cuneta de Vía T2,ml,2018-03-22,125+400,125+500,100
Remocion de Derrumbes T2,m3,2018-03-23,125+400,125+450,180
Remocion de Derrumbes T2,m3,2018-04-01,125+400,125+450,60
Limpieza de carril/pista y bermas T2,m2,2018-12-08,125+430,125+450,36
Remocion de Derrumbes T2,m3,2018-12-19,125+400,125+420,72
Limpieza Manual de Cuneta de Vía T2,ml,2018-12-26,125+400,125+450,50
Limpieza Manual de Cuneta de Vía T2,ml,2019-01-02,125+400,125+430,30
Limpieza Manual de Cuneta de Vía T2,ml,2019-01-04,125+400,125+450,50
Remocion de Derrumbes T2,m3,2019-01-11,125+400,125+415,60
Remocion de Derrumbes T2,m3,2019-01-12,125+400,125+415,60
Remocion de Derrumbes T2,m3,2019-01-14,125+400,125+415,48
Remocion de Derrumbes T2,m3,2019-01-18,125+400,125+415,180
Remocion de Derrumbes T2,m3,2019-01-19,125+400,125+415,36
Remocion de Derrumbes T2,m3,2019-01-20,125+400,125+415,48
Remocion de Derrumbes T2,m3,2019-01-21,125+400,125+415,168
Remocion de Derrumbes T2,m3,2019-01-22,125+400,125+415,24
Remocion de Derrumbes T2,m3,2019-01-23,125+400,125+415,156
Remocion de Derrumbes T2,m3,2019-01-25,125+400,125+420,36
Remocion de Derrumbes T2,m3,2019-01-26,125+400,125+420,48
Remocion de Derrumbes T2,m3,2019-01-28,125+400,125+450,300
Remocion de Derrumbes T2,m3,2019-01-29,125+400,125+420,96
Remocion de Derrumbes T2,m3,2019-01-30,125+400,125+420,48
Remocion de Derrumbes T2,m3,2019-01-31,125+400,125+420,204
Limpieza Manual de Cuneta de Vía T2,ml,2019-02-02,125+300,125+500,200
Remocion de Derrumbes T2,m3,2019-02-02,125+400,125+420,120
Limpieza Manual de Cuneta de Vía T2,ml,2019-02-03,125+300,125+500,200
Remocion de Derrumbes T2,m3,2019-02-04,125+400,125+420,240
Remocion de Derrumbes T2,m3,2019-02-05,125+400,125+420,240
Remocion de Derrumbes T2,m3,2019-02-06,125+400,125+420,264
Remocion de Derrumbes T2,m3,2019-02-07,125+400,125+420,156
Remocion de Derrumbes T2,m3,2019-02-08,125+400,125+420,192
Remocion de Derrumbes T2,m3,2019-02-10,125+400,125+450,84
Limpieza Manual de Cuneta de Vía T2,ml,2019-02-10,125+400,125+450,84
Remocion de Derrumbes T2,m3,2019-02-11,125+400,125+430,36
Remocion de Derrumbes T2,m3,2019-02-12,125+400,125+430,240
Remocion de Derrumbes T2,m3,2019-02-15,125+400,125+430,60
Remocion de Derrumbes T2,m3,2019-02-17,125+400,125+450,132
Remocion de Derrumbes T2,m3,2019-02-19,125+400,125+430,24
Remocion de Derrumbes T2,m3,2019-02-21,125+400,125+430,60
Remocion de Derrumbes T2,m3,2019-02-22,125+400,125+430,264
Remocion de Derrumbes T2,m3,2019-02-23,125+400,125+430,204
Remocion de Derrumbes T2,m3,2019-02-27,125+400,125+430,72
Remocion de Derrumbes T2,m3,2019-02-28,125+400,125+430,204
Remocion de Derrumbes T2,m3,2019-03-04,125+400,125+430,96
Remocion de Derrumbes T2,m3,2019-03-10,125+400,125+430,72
Remocion de Derrumbes T2,m3,2019-03-12,125+400,125+430,60
Remocion de Derrumbes T2,m3,2019-03-13,125+400,125+430,156
Remocion de Derrumbes T2,m3,2019-03-15,125+400,125+430,96
Remocion de Derrumbes T2,m3,2019-03-16,125+400,125+430,24
Remocion de Derrumbes T2,m3,2019-03-17,125+400,125+430,96
Remocion de Derrumbes T2,m3,2019-03-18,125+400,125+430,120
