Descripción,Unidad,Fecha,INICIO (KM),FIN (KM),METRADO
Pintura Chevron Guarda Vías T2,m2,2018-04-25,219+060,219+070,1.5
Reposición de Defensas Averiadas T2,ml,2018-04-25,219+060,219+070,7.6
Limpieza de postes (hitos) kilométricos T2,und,2018-04-30,219+000,,1
Limpieza de Placas de Señalización Vertical T2,m2,2018-05-01,219+000,219+050,1.6875
Limpieza de guardavías,ml,2018-05-01,219+005,219+020,30
Limpieza de Superfície de Concreto y Dispos. Drenaje T2,ml,2018-06-25,219+044,219+044,25
Repintado de Postes de (hitos) kilométricos T2,m2,2018-08-17,219+000,219+000,1
Repintado de Parapetos Muros T2,m2,2018-09-07,219+010,,0.7
Repintado de Parapetos Muros T2,m2,2018-09-07,219+015,,1.7999999999999998
Limpieza de Parapetos Veredas de Concreto T2,m2,2018-09-07,219+015,,0.8
Limpieza de Parapetos Veredas de Concreto T2,m2,2018-09-07,219+015,,0.28
Desbroce Manual T2,m2,2019-01-02,219+000,219+040,40
Limpieza de Barandas Metálicas T2,m2,2019-02-01,219+040,219+060,40
Limpieza de Barandas Metálicas T2,m2,2019-02-04,219+020,219+080,16
Limpieza de Parapetos Veredas de Concreto T2,m2,2019-02-04,219+030,219+070,20
Limpieza de Parapetos Veredas de Concreto T2,m2,2019-02-04,219+030,219+070,20
Limpieza de Barandas Metálicas T2,m2,2019-02-04,219+040,219+060,20
Limpieza de Parapetos Veredas de Concreto T2,m2,2019-07-04,219+030,219+070,12
Limpieza de Cauces T2,ml,2019-07-04,219+045,,24
Repintado de Postes de (hitos) kilométricos T2,m2,2019-10-14,219+000,,0.5
Limpieza de Barandas Metálicas T2,m2,2019-12-13,219+044,219+069,50
Limpieza de Parapetos Veredas de Concreto T2,m2,2019-12-13,219+044,219+069,30
Repintado de Parapetos Muros T2,m2,2020-06-15,219+030,219+060,20
Limpieza de Barandas Metálicas T2,m2,2020-08-19,219+020,219+035,30
Limpieza de Barandas Metálicas T2,m2,2020-08-19,219+040,219+060,40
Limpieza de Barandas Metálicas T2,m2,2020-08-19,219+040,219+060,40
Limpieza de Parapetos Veredas de Concreto T2,m2,2020-12-04,219+044,,30
Limpieza de carril/pista y bermas T2,m2,2021-01-30,219+000,,15
Limpieza de Guardavías T2,ml,2021-05-19,218+980,218+998,20
Limpieza de los Dispositivos de Drenaje (de muros) T2,m2,2021-06-25,219+015,219+030,1
Limpieza de Barandas Metálicas T2,m2,2021-07-06,219+015,,1
Limpieza de Barandas Metálicas T2,m2,2021-07-07,219+015,,2
Limpieza de Barandas Metálicas T2,m2,2021-07-07,219+015,,2
Limpieza de Placas de Señalización Vertical T2,m2,2021-07-07,219+016,,0.5625
Repintado de Postes de (hitos) kilométricos T2,m2,2021-09-01,219+000,,0.5
Limpieza de Guardavías T2,ml,2021-09-01,219+019,219+043,24
Limpieza de Guardavías T2,ml,2021-09-01,219+019,219+043,24
Pintura Chevron Guarda Vías T2,m2,2021-09-01,219+019,219+043,1.2000000000000002
Repintado de Postes de Señalización Vertical T2,m2,2021-09-01,219+020,,1.56
Limpieza de Postes de Señalización Vertical T2,und,2021-09-01,219+020,,1
Repintado de Parapetos Muros T2,m2,2021-09-01,219+047,219+054,3.5
Limpieza de Guardavías T2,ml,2021-09-01,219+054,219+069,15
Limpieza de Guardavías T2,ml,2021-09-01,219+054,219+069,15
Pintura Chevron Guarda Vías T2,m2,2021-09-01,219+054,219+069,0.75
Limpieza Pórtico instalados en los Tramos T2,m2,2021-10-14,219+016,,0.7000000000000001
Limpieza de Barandas Metálicas T2,m2,2021-10-14,219+044,219+060,40
Tratamiento de Fisuras T2,m2,2021-10-17,219+000,219+030,1.5
Repintado de Parapetos Muros T2,m2,2021-10-18,219+030,219+040,11
Repintado de Parapetos Muros T2,m2,2021-10-18,219+044,,3.75
Repintado de Parapetos Muros T2,m2,2021-10-18,219+055,219+063,7.2
Limpieza de carril/pista y bermas T2,m2,2021-10-24,219+050,,2
Reposición de Señalización Vertical T2,m2,2021-10-29,218+980,,0.5625
Reposición de capta faros (ojo de gato) T2,ml,2022-01-13,219+008,219+024,1
Limpieza Pórtico instalados en los Tramos T2,m2,2022-01-13,219+016,,0.30000000000000004
Repintado de Postes de Señalización Vertical T2,m2,2022-01-13,219+016,,1.56
Reposición de Señalización Vertical T2,m2,2022-01-13,219+016,,5
Limpieza de Delineador T2,und,2022-01-13,219+050,219+066,1
Pintura Chevron Guarda Vías T2,m2,2022-01-13,219+050,219+066,0.6000000000000001
Limpieza de Guardavías T2,ml,2022-08-10,219+008,219+024,12
Limpieza de Guardavías T2,ml,2022-08-10,219+008,219+024,12
Limpieza de Cauces T2,ml,2022-08-10,219+040,219+060,150
Limpieza de Superfície de Concreto y Dispos. Drenaje T2,ml,2022-08-10,219+040,219+060,40
Limpieza de Barandas Metálicas T2,m2,2022-08-10,219+040,219+060,8
Limpieza de Guardavías T2,ml,2023-02-25,219+030,,16
Limpieza de Barandas Metálicas T2,m2,2023-02-25,219+040,,4
Limpieza de Barandas Metálicas T2,m2,2023-02-25,219+040,,4
Limpieza de Parapetos Veredas de Concreto T2,m2,2023-02-25,219+040,,6
Limpieza de Barandas Metálicas T2,m2,2023-02-25,219+040,,5.5
Repintado de Postes de (hitos) kilométricos T2,m2,2023-03-02,219+000,,0.5
Repintado de Parapetos Muros T2,m2,2024-03-19,219+050,,10
Limpieza de Parapetos Veredas de Concreto T2,m2,2024-03-19,219+050,,6
Repintado de Parapetos Muros T2,m2,2024-03-19,219+050,,7
Repintado de Parapetos Muros T2,m2,2024-03-19,219+050,,8
Limpieza de Deslizamientos Menores < 15 m3 T2,m3,2024-05-18,219+000,219+030,15
Limpieza de Juntas en Cunetas y Bermas,m2,2024-05-24,219+000,219+000,510
Limpieza de Placas de Señalización Vertical T2,m2,2024-07-08,218+985,,0.5625
Repintado de Postes de (hitos) kilométricos T2,m2,2024-07-08,219+000,,0.5
Limpieza de Guardavías T2,ml,2025-04-06,219+010,219+025,15
Limpieza de Guardavías T2,ml,2025-04-06,219+010,219+025,15
Repintado de Parapetos Muros T2,m2,2025-04-06,219+050,,4
Limpieza de Cauces T2,ml,2025-06-30,219+044,,80
Limpieza de Postes de Señalización Vertical T2,und,2025-09-25,218+980,,1
Limpieza de Superfície de Concreto y Dispos. Drenaje T2,ml,2025-11-06,219+030,219+040,10
Limpieza de Barandas Metálicas T2,m2,2025-11-06,219+030,219+040,9
Limpieza de Superfície de Concreto y Dispos. Drenaje T2,ml,2025-11-06,219+040,219+060,12
Limpieza de Superfície de Concreto y Dispos. Drenaje T2,ml,2025-11-06,219+060,219+065,5
Limpieza de Barandas Metálicas T2,m2,2025-11-06,219+060,219+065,6.6
Limpieza de Barandas Metálicas T2,m2,2025-11-21,219+030,219+030,14
Repintado de Postes de Señalización Vertical T2,m2,2025-12-31,219+005,,1.56
Limpieza de Cauces T2,ml,2026-01-16,219+020,219+050,50
Limpieza de carril/pista y bermas T2,m2,2026-02-03,219+050,,30
