Descripción,Unidad,Fecha,INICIO (KM),FIN (KM),METRADO
Limpieza de Deslizamientos Menores < 15 m3 T2,m3,2018-06-29,243+700,243+710,14
Reposición de Señalización Vertical T2,m2,2019-10-29,243+725,,0.5625
Limpieza de carril/pista y bermas T2,m2,2020-08-15,243+706,243+720,54
Limpieza Residuos Solidos / Basuras,m2,2021-06-17,243+700,243+720,80
Reparación de Bache Superficial T2,m2,2021-06-24,243+700,243+720,0.25
Reposición de Señalización Vertical T2,m2,2022-01-27,243+730,,0.5625
Limpieza Manual de Cuneta de Vía T2,ml,2022-11-05,243+700,243+710,10
Reposición de Cuneta,ml,2022-11-08,243+700,243+710,3
Limpieza Manual de Cuneta de Vía T2,ml,2023-01-28,243+700,243+720,20
Repintado de Postes de (hitos) kilométricos T2,m2,2023-04-26,243+729,,0.5
Remocion de Derrumbes T2,m3,2024-03-11,243+700,243+730,120
Remocion de Derrumbes T2,m3,2024-03-12,243+700,243+730,30
Limpieza de carril/pista y bermas T2,m2,2024-03-21,243+701,,20
Limpieza de carril/pista y bermas T2,m2,2024-03-27,243+700,243+730,120
Limpieza de Parapetos Veredas de Concreto T2,m2,2024-05-25,243+705,243+730,4
Limpieza de Placas de Señalización Vertical T2,m2,2024-07-09,243+720,,0.5625
Limpieza de carril/pista y bermas T2,m2,2025-01-08,243+700,,20
Limpieza Manual de Cuneta de Vía T2,ml,2025-08-27,243+700,243+720,20
Limpieza de Juntas en Cunetas y Bermas,ml,2025-08-27,243+700,243+720,11.333333333333334
Limpieza de Cajas de Inspección Subdren T2,und,2025-08-27,243+700,243+720,1
Limpieza de carril/pista y bermas T2,m2,2025-09-13,243+700,243+720,800
Limpieza de Cajas de Inspección Subdren T2,und,2025-10-21,243+700,,1
Reposición de Delineador T2,und,2026-01-27,243+700,,2
