Descripción,Unidad,Fecha,INICIO (KM),FIN (KM),METRADO
Limpieza de Deslizamientos Menores < 15 m3 T2,m3,2018-03-24,123+048,123+050,2
Limpieza Manual de Cabezal de Alcantarilla T2,ml,2018-03-24,123+050,,5
Limpieza Manual de Cabezal de Alcantarilla T2,ml,2018-04-25,122+945,,8
Limpieza Manual de Cuneta de Vía T2,ml,2018-08-02,122+800,,20
Repintado de Postes de (hitos) kilométricos T2,m2,2018-09-18,123+000,,0.5
Repintado de Parapetos Muros T2,m2,2018-09-18,123+000,,0.36
Repintado de Parapetos Muros T2,m2,2018-09-18,123+040,,0.15
Limpieza Manual de Cuneta de Vía T2,ml,2018-12-29,123+000,123+100,100
Limpieza Manual de Cuneta de Vía T2,ml,2019-03-06,122+900,,5
Limpieza Manual de Cabezal de Alcantarilla T2,ml,2019-05-28,123+045,,9
Reparación de Cuneta Urbana tipo 1 T2,ml,2019-05-28,123+053,,0.5
Reparación de Bache Superficial T2,m2,2019-06-25,122+799,122+799,0.04000000000000001
Reparación de Bache Superficial T2,m2,2019-06-25,122+837,122+837,0.04000000000000001
Reparación de Bache Superficial T2,m2,2019-06-25,122+857,122+857,0.04000000000000001
Reparación de Bache Superficial T2,m2,2019-06-25,122+920,122+920,0.04000000000000001
Reparación de Bache Superficial T2,m2,2019-06-25,122+924,122+924,0.04000000000000001
Reposición de Señalización Vertical T2,m2,2019-07-04,122+906,,0.5625
Limpieza de carril/pista y bermas T2,m2,2019-07-10,122+800,122+900,100
Limpieza de carril/pista y bermas T2,m2,2019-07-10,122+900,123+000,100
Reposición de cunetas T2,ml,2019-07-12,122+915,,0
Reposición de cunetas T2,ml,2019-07-22,122+915,,3
Limpieza Manual de Cuneta de Vía T2,ml,2019-09-30,122+752,,20
Limpieza Manual de Cuneta de Vía T2,ml,2019-09-30,122+875,,30
Limpieza Manual de Cuneta de Vía T2,ml,2019-09-30,122+945,,15
Limpieza Manual de Cuneta de Vía T2,ml,2019-09-30,122+947,,6
Limpieza Manual de Cuneta de Vía T2,ml,2019-09-30,122+950,,20
Limpieza Manual de Cuneta de Vía T2,ml,2019-12-25,122+800,122+806,6
Limpieza Manual de Cabezal de Alcantarilla T2,ml,2020-01-18,122+960,,11
Limpieza Manual de Cabezal de Alcantarilla T2,ml,2020-01-18,123+042,,13
Limpieza Manual de Cuneta de Vía T2,ml,2020-12-29,122+800,,5
Limpieza de Juntas en Cunetas y Bermas,ml,2020-12-29,122+800,,2.8333333333333335
Limpieza Manual de Cuneta de Vía T2,ml,2021-05-10,122+890,122+900,10
Limpieza Manual de Cabezal de Alcantarilla T2,ml,2021-05-18,123+040,,12
Limpieza Manual de Cuneta de Vía T2,ml,2021-05-18,123+050,,10
Limpieza Manual de Cuneta de Vía T2,ml,2021-06-14,122+800,122+920,120
Limpieza Manual de Cuneta de Vía T2,ml,2021-06-14,122+920,123+050,130
Limpieza de Cajas de Inspección Subdren T2,und,2021-06-14,122+920,,2
Limpieza Residuos Sólidos / Basuras,m2,2021-09-16,122+885,122+915,30
Limpieza Manual de Cuneta de Vía T2,ml,2021-10-11,122+952,122+995,43
Limpieza Manual de Cuneta de Vía T2,ml,2021-10-11,123+025,123+100,75
Limpieza Manual de Cuneta de Vía T2,ml,2021-12-16,122+756,,8
Limpieza Manual de Cuneta de Vía T2,ml,2021-12-16,122+915,,12
Limpieza Manual de Cabezal de Alcantarilla T2,ml,2021-12-16,122+943,,10
Limpieza Manual de Cuneta de Vía T2,ml,2021-12-20,122+880,122+881,1
Reposición de Delineador T2,und,2022-01-07,122+779,,1
Limpieza mecanizada de cabezal de alcantarilla T2,m3,2022-01-07,122+780,122+803,4
Desbroce Manual T2,m2,2022-01-07,122+860,122+880,60
Limpieza Manual de Cuneta de Vía T2,ml,2022-02-21,123+000,123+100,100
Repintado de Postes de (hitos) kilométricos T2,m2,2022-02-21,123+000,,0.5
Limpieza Manual de Cabezal de Alcantarilla T2,ml,2022-03-18,123+038,,12
Limpieza de carril/pista y bermas T2,m2,2022-06-10,122+786,122+800,30
Pintura Chevron Guarda Vías T2,m2,2022-06-10,122+796,,1.5
Limpieza Manual de Cuneta de Vía T2,ml,2022-06-10,122+895,,12
Limpieza Manual de Cuneta de Vía T2,ml,2022-06-10,122+951,122+985,34
Pintura Chevron Guarda Vías T2,m2,2022-06-10,122+962,122+985,3
Pintura Chevron Guarda Vías T2,m2,2022-08-22,122+812,,1
Limpieza Manual de Cabezal de Alcantarilla T2,ml,2022-08-22,122+942,,8
