Descripción,Unidad,Fecha,INICIO (KM),FIN (KM),METRADO
limpieza manual de juntas de cuneta de vía,ml,2018-07-02,172+000,172+300,170
Limpieza Manual de Cuneta de Vía T2,ml,2018-07-30,172+100,172+200,100
Limpieza Manual de Cabezal de Alcantarilla T2,ml,2018-07-30,172+220,172+225,15
Limpieza de Placas de Señalización Vertical T2,m2,2018-08-24,172+008,172+008,0.96
Limpieza de guardavías,ml,2018-08-24,172+066,172+153,87
Limpieza Manual de Cuneta de Vía T2,ml,2018-08-24,172+109,172+141,32
Limpieza de carril/pista y bermas T2,m2,2018-08-24,172+160,172+190,30
Limpieza Manual de Cabezal de Alcantarilla T2,ml,2018-08-24,172+169,172+180,54
Limpieza de guardavías,ml,2018-08-24,172+193,172+217,24
Limpieza Manual de Cuneta de Vía T2,ml,2018-09-27,172+090,172+100,30
Desbroce Manual T2,m2,2018-10-19,172+000,172+100,600
Limpieza Manual de Cuneta de Vía T2,ml,2018-10-19,172+000,172+100,200
Limpieza mecanizada de cabezal de alcantarilla T2,m3,2019-01-18,172+160,172+170,6
Limpieza de Guardavías T2,ml,2019-05-03,172+100,172+180,80
Limpieza de Guardavías T2,ml,2019-05-03,172+200,172+280,80
Limpieza Manual de Cuneta de Vía T2,ml,2019-06-26,172+045,172+065,20
Limpieza Manual de Cuneta de Vía T2,ml,2019-06-26,172+155,172+170,15
Limpieza Manual de Cabezal de Alcantarilla T2,ml,2019-06-26,172+170,,10
Limpieza Manual de Cuneta de Vía T2,ml,2019-06-26,172+185,172+285,100
Limpieza Manual de Cuneta de Vía T2,ml,2019-06-26,172+220,172+235,15
Pintura Chevron Guarda Vías T2,m2,2019-07-08,172+075,172+091,3
Tratamiento de Fisuras T2,m2,2019-07-08,172+140,,0.05
Reparación de Bache Superficial T2,m2,2019-07-08,172+174,172+177,0.3
Reparación de Bache Superficial T2,m2,2019-07-08,172+180,,0.1
Reposición de Tachas Reflectivas T2,und,2019-07-11,172+100,172+200,20
Limpieza Manual de Cuneta de Vía T2,ml,2019-09-13,172+100,172+250,150
Limpieza Manual de Cuneta de Vía T2,ml,2019-09-15,172+100,172+250,150
Reposición de Cuneta,ml,2019-09-23,172+200,172+203,3
Limpieza de Guardavías T2,ml,2020-10-30,172+192,172+215,23
Repintado de Postes de (hitos) kilométricos T2,m2,2020-11-02,172+000,,0.5
Limpieza de postes (hitos) kilométricos T2,und,2020-11-02,172+000,,1
Repintado de Postes de Señalización Vertical T2,m2,2020-11-02,172+007,,1.56
Limpieza de Postes de Señalización Vertical T2,und,2020-11-02,172+007,,1
Repintado de Postes de Señalización Vertical T2,m2,2020-11-02,172+049,,1.56
Limpieza de Postes de Señalización Vertical T2,und,2020-11-02,172+049,,1
Reposición de Señalización Vertical T2,m2,2020-11-04,172+050,,0.5625
Desbroce Manual T2,m2,2021-04-19,172+000,172+200,200
Repintado de Parapetos Muros T2,m2,2021-08-04,172+250,,0.1
Limpieza de Parapetos Veredas de Concreto T2,m2,2021-08-04,172+250,,0.1
Limpieza de Guardavías T2,ml,2021-09-06,172+066,172+153,87
Limpieza Manual de Cuneta de Vía T2,ml,2022-02-23,172+000,172+300,300
Limpieza de Juntas en Cunetas y Bermas,ml,2022-02-23,172+000,172+300,170
Limpieza de Delineador T2,und,2022-02-23,172+000,172+050,6
Limpieza de Guardavías T2,ml,2022-03-04,172+193,,24
Limpieza de Guardavías T2,ml,2022-03-04,172+220,,36
Limpieza de Guardavías T2,ml,2022-07-06,172+220,,16
Pintura Chevron Guarda Vías T2,m2,2022-07-22,172+060,172+148,27.599999999999998
Pintura Chevron Guarda Vías T2,m2,2022-07-22,172+200,172+224,7.199999999999999
Limpieza de Guardavías T2,ml,2022-12-14,172+060,172+153,93
