Descripción,Unidad,Fecha,INICIO (KM),FIN (KM),METRADO
Limpieza de Guardavías T2,ml,2022-12-14,172+190,172+218,28
Limpieza Manual de Cabezal de Alcantarilla T2,ml,2022-12-23,172+080,172+080,12
Repintado de delineador T2,und,2023-03-03,172+194,,5
Reposición de Defensas Averiadas T2,ml,2023-03-07,172+175,,2
Reposición de Defensas Averiadas T2,ml,2023-03-08,172+175,,4
Reposición de Cuneta,ml,2023-10-02,172+160,172+112,3
Reposición de Cuneta,ml,2023-10-04,172+160,172+172,9
Limpieza de Guardavías T2,ml,2023-10-30,172+066,172+154,88
Limpieza Manual de Cabezal de Alcantarilla T2,ml,2023-11-02,172+300,,14
Desbroce Manual T2,m2,2023-11-06,172+180,172+280,300
Limpieza Manual de Cuneta de Vía T2,ml,2023-11-06,172+180,172+280,100
Limpieza Manual de Cuneta de Vía T2,ml,2023-11-09,172+180,172+186,20
Reposición de Cuneta,ml,2023-11-14,172+180,172+186,6
Reparación de Cuneta Urbana tipo 1 T2,ml,2023-11-14,172+180,172+186,2.4
Tratamiento de Fisuras T2,m2,2024-03-07,172+135,,2.5
Reposición de postes (hitos) kilométricos T2,und,2024-04-22,172+000,,1
Repintado de Postes de Señalización Vertical T2,m2,2024-04-22,172+007,,1.56
Limpieza de Guardavías T2,ml,2024-06-21,172+050,172+130,80
Limpieza de Guardavías T2,ml,2024-06-21,172+195,172+210,15
Limpieza Manual de Cuneta de Vía T2,ml,2024-06-26,172+165,172+175,10
Limpieza Manual de Cabezal de Alcantarilla T2,ml,2024-06-27,172+165,172+165,12
Desbroce Manual T2,m2,2025-02-12,172+100,172+200,300
Limpieza Manual de Cuneta de Vía T2,ml,2025-02-12,172+130,172+150,20
Limpieza Manual de Cuneta de Vía T2,ml,2025-02-12,172+130,172+150,2
Limpieza de Guardavías T2,ml,2025-03-01,172+060,172+140,80
Limpieza de Postes de Señalización Vertical T2,und,2025-05-15,172+008,172+008,1
Limpieza de Placas de Señalización Vertical T2,m2,2025-05-15,172+008,172+008,0.5625
Limpieza Manual de Cuneta de Vía T2,ml,2025-05-15,172+032,172+072,40
Limpieza Manual de Cabezal de Alcantarilla T2,ml,2025-05-15,172+167,172+170,12
Limpieza Manual de Cuneta de Vía T2,ml,2025-05-15,172+183,172+262,79
Reparación Parcial de Delineador T2,und,2025-06-18,172+160,172+190,6
Limpieza Manual de Cuneta de Vía T2,ml,2025-06-20,172+180,172+280,80
Repintado de Postes de (hitos) kilométricos T2,m2,2025-07-16,172+000,172+000,0.5
Limpieza Manual de Cabezal de Alcantarilla T2,ml,2025-07-22,172+180,172+183,12
Limpieza de Superfície de Concreto y Dispos. Drenaje T2,ml,2025-07-31,172+130,172+130,20
Limpieza Manual de Cuneta de Vía T2,ml,2025-07-31,172+130,172+150,40
Limpieza de Guardavías T2,ml,2025-08-13,172+080,172+100,10
Recomposición de Erosión T2,m3,2025-10-24,172+080,172+160,80
Limpieza de Guardavías T2,ml,2025-11-11,172+193,172+216,23
Limpieza de Postes de Señalización Vertical T2,und,2025-11-12,172+005,172+005,1
Limpieza Manual de Cabezal de Alcantarilla T2,ml,2025-11-21,172+170,172+170,14
Tratamiento de Fisuras T2,m2,2025-12-19,172+108,172+120,2.4000000000000004
Tratamiento de Fisuras T2,m2,2025-12-23,172+140,172+160,10
Pintura o Reaplicación por Aspersión T2,ml,2026-01-03,172+200,172+300,50
Recomposición de Erosión T2,m3,2026-01-14,172+130,172+150,20
Tratamiento de Fisuras T2,m2,2026-01-23,172+140,172+160,5
