Tramo,Año,Descripción,Unidad,Fecha,Inicio (km),Fin (km),Metrado
km 125+300 - 125+500,2018,Limpieza Manual de Cuneta de Vía T2,ml,2017-12-25,125+500,127+500,50
km 125+300 - 125+500,2018,Limpieza Manual de Cuneta de Vía T2,ml,2017-12-31,124+000,127+000,200
km 125+300 - 125+500,2018,Limpieza de carril/pista y bermas T2,m2,2018-01-01,30+000,140+000,35
km 125+300 - 125+500,2018,Limpieza Manual de Cabezal de Alcantarilla T2,ml,2018-01-08,116+250,162+260,30
km 125+300 - 125+500,2018,Desbroce Manual T2,m2,2018-01-11,116+600,166+700,200
km 125+300 - 125+500,2018,Remocion de Derrumbes T2,m3,2018-01-16,125+400,125+450,72
km 125+300 - 125+500,2018,Remocion de Derrumbes T2,m3,2018-01-17,125+400,125+450,144
km 125+300 - 125+500,2018,Remocion de Derrumbes T2,m3,2018-01-18,125+400,125+450,216
km 125+300 - 125+500,2018,Remocion de Derrumbes T2,m3,2018-01-20,125+400,125+450,228
km 125+300 - 125+500,2018,Remocion de Derrumbes T2,m3,2018-01-21,125+400,125+450,108
km 125+300 - 125+500,2018,Remocion de Derrumbes T2,m3,2018-01-22,125+400,125+450,108
km 125+300 - 125+500,2018,Remocion de Derrumbes T2,m3,2018-01-24,125+400,125+450,108
km 125+300 - 125+500,2018,Limpieza Manual de Cuneta de Vía T2,ml,2018-01-26,123+700,125+650,40
km 125+300 - 125+500,2018,Limpieza Manual de Cuneta de Vía T2,ml,2018-01-30,125+450,125+550,100
km 125+300 - 125+500,2018,Limpieza Manual de Cuneta de Vía T2,ml,2018-01-30,125+450,125+560,110
km 125+300 - 125+500,2018,Remocion de Derrumbes T2,m3,2018-02-05,125+400,125+450,96
km 125+300 - 125+500,2018,Remocion de Derrumbes T2,m3,2018-02-08,125+400,125+450,132
km 125+300 - 125+500,2018,Remocion de Derrumbes T2,m3,2018-02-11,125+400,125+450,120
km 125+300 - 125+500,2018,Limpieza de carril/pista y bermas T2,m2,2018-02-12,125+390,125+540,100
km 125+300 - 125+500,2018,Limpieza Manual de Cuneta de Vía T2,ml,2018-02-12,125+500,125+600,100
