Tramo,Año,Descripción,Unidad,Fecha,Inicio (km),Fin (km),Metrado
km 243+700 - 243+730,2018,Limpieza Manual de Cabezal de Alcantarilla T2,ml,2017-12-28,215+280,2215+290,8
km 243+700 - 243+730,2018,Limpieza de Deslizamientos Menores < 15 m3 T2,m3,2018-01-12,243+620,244+640,3
km 243+700 - 243+730,2018,Desbroce Manual T2,m2,2018-02-15,243+500,244+000,3000
km 243+700 - 243+730,2018,Limpieza Mecanizada de Cabezal de Alcantarilla T2,m3,2018-05-04,242+920,243+930,6
km 243+700 - 243+730,2018,Limpieza de Deslizamientos Menores < 15 m3 T2,m3,2018-05-19,243+730,243+740,15
km 243+700 - 243+730,2018,Limpieza de carril/pista y bermas T2,m2,2018-05-31,243+700,243+750,50
km 243+700 - 243+730,2018,Desbroce Manual T2,m2,2018-06-27,243+500,244+000,3000
km 243+700 - 243+730,2018,Limpieza Manual de Cuneta de Vía T2,ml,2018-06-27,243+500,244+000,500
km 243+700 - 243+730,2018,Limpieza de Deslizamientos Menores < 15 m3 T2,m3,2018-06-29,243+700,243+710,14
km 243+700 - 243+730,2018,Limpieza manual de juntas de cuneta de vía,ml,2018-09-29,243+000,243+800,453.3333333333333
km 243+700 - 243+730,2018,Limpieza de carril/pista y bermas T2,m2,2018-10-13,141+000,246+000,576
km 243+700 - 243+730,2018,Limpieza de carril/pista y bermas T2,m2,2018-10-14,141+000,246+000,900
km 243+700 - 243+730,2018,Limpieza manual de juntas de cuneta de vía,ml,2018-11-04,242+800,246+100,3683.3333333333335
km 243+700 - 243+730,2018,Limpieza manual de juntas de cuneta de vía,ml,2018-11-11,243+720,243+800,45.333333333333336
km 243+700 - 243+730,2018,Desbroce Manual T2,m2,2018-11-11,243+720,243+800,80
km 243+700 - 243+730,2018,Limpieza de Deslizamientos Menores < 15 m3 T2,m3,2018-11-21,243+600,243+720,7
km 243+700 - 243+730,2018,Limpieza Manual de Cuneta de Vía T2,ml,2018-12-10,243+000,244+500,1000
km 243+700 - 243+730,2018,Desbroce Manual T2,m2,2018-12-10,243+500,244+500,6000
km 243+700 - 243+730,2018,Limpieza manual de juntas de cuneta de vía,ml,2018-12-10,243+500,244+500,566.6666666666666
km 243+700 - 243+730,2018,Limpieza Manual de Cuneta de Vía T2,ml,2018-12-20,233+200,244+250,50
km 243+700 - 243+730,2019,Limpieza de Deslizamientos Menores < 15 m3 T2,m3,2019-01-17,243+620,243+700,5
km 243+700 - 243+730,2019,Reparación de las Estructuras de Contención (gabión) T2,m3,2019-01-19,237+914,2379+984,1
km 243+700 - 243+730,2019,Limpieza de Barandas Metálicas T2,m2,2019-03-19,207+390,2017+400,20
km 243+700 - 243+730,2019,Limpieza de Postes de Señalización Vertical T2,und,2019-03-19,243+000,245+150,20
km 243+700 - 243+730,2019,Limpieza de Delineador T2,und,2019-03-19,243+650,243+720,6
km 243+700 - 243+730,2019,Limpieza de Guardavías T2,ml,2019-03-19,243+700,244+000,300
km 243+700 - 243+730,2019,Limpieza de Parapetos Veredas de Concreto T2,m2,2019-03-19,243+700,243+740,12
km 243+700 - 243+730,2019,Remocion de Derrumbes T2,m3,2019-03-19,76+980,770+000,300
km 243+700 - 243+730,2019,Desbroce Manual T2,m2,2019-05-22,243+500,245+000,9000
km 243+700 - 243+730,2019,Limpieza de juntas en cunetas y berma,ml,2019-05-22,243+500,245+000,850
km 243+700 - 243+730,2019,Limpieza Manual de Cuneta de Vía T2,ml,2019-05-22,243+500,245+000,1500
km 243+700 - 243+730,2019,Limpieza de Placas de Señalización Vertical T2,m2,2019-05-22,243+500,245+000,6.1875
