Tramo,Año,Descripción,Unidad,Fecha,Inicio (km),Fin (km),Metrado
km 146+500 - 146+520,2018,Limpieza Manual de Cabezal de Alcantarilla T2,ml,2018-01-08,116+250,162+260,30
km 146+500 - 146+520,2018,Desbroce Manual T2,m2,2018-01-11,116+600,166+700,200
km 146+500 - 146+520,2018,Limpieza Manual de Cuneta de Vía T2,ml,2018-01-26,146+370,146+800,350
km 146+500 - 146+520,2018,Reposición de Tachas Reflectivas T2,und,2018-01-29,146+000,147+000,44
km 146+500 - 146+520,2018,Limpieza de postes (hitos) kilométricos T2,und,2018-03-06,143+000,160+000,18
km 146+500 - 146+520,2018,Limpieza Manual de Cuneta de Vía T2,ml,2018-04-02,146+000,146+600,600
km 146+500 - 146+520,2018,Limpieza Manual de Cuneta de Vía T2,ml,2018-04-02,146+450,146+800,20
km 146+500 - 146+520,2018,Limpieza Manual de Cuneta de Vía T2,ml,2018-05-30,146+000,147+000,1000
km 146+500 - 146+520,2018,Limpieza de juntas de cuneta de vía,ml,2018-05-30,146+000,147+000,566.6666666666666
km 146+500 - 146+520,2018,Limpieza Manual de Cabezal de Alcantarilla T2,ml,2018-06-11,146+518,146+518,8
km 146+500 - 146+520,2018,Reposición de Tachas Reflectivas T2,und,2018-06-14,141+000,147+000,220
km 146+500 - 146+520,2018,Reparación de Bache Superficial T2,m2,2018-06-18,146+512,146+512,0.01
km 146+500 - 146+520,2018,Reparación de Bache Superficial T2,m2,2018-06-18,146+517,146+517,0.01
km 146+500 - 146+520,2018,Reparación de Bache Superficial T2,m2,2018-06-18,146+517,146+517,0.01
km 146+500 - 146+520,2018,Desbroce Manual T2,m2,2018-06-19,146+000,147+000,5000
km 146+500 - 146+520,2018,Limpieza de juntas de cuneta de vía,ml,2018-06-19,146+000,147+000,566.6666666666666
km 146+500 - 146+520,2018,Limpieza Manual de Cuneta de Vía T2,ml,2018-06-26,146+000,147+000,1000
km 146+500 - 146+520,2018,Limpieza de carril/pista y bermas T2,m2,2018-07-07,109+200,198+400,30
km 146+500 - 146+520,2018,Limpieza Manual de Cuneta de Vía T2,ml,2018-07-12,146+500,146+510,10
km 146+500 - 146+520,2018,Limpieza manual de juntas de cuneta de vía,ml,2018-08-10,146+000,147+000,566.6666666666666
km 146+500 - 146+520,2018,Limpieza de carril/pista y bermas T2,m2,2018-10-13,141+000,246+000,576
km 146+500 - 146+520,2018,Limpieza de carril/pista y bermas T2,m2,2018-10-14,141+000,246+000,900
km 146+500 - 146+520,2018,Limpieza manual de juntas de cuneta de vía,ml,2018-12-13,144+500,147+000,850
km 146+500 - 146+520,2018,Limpieza Manual de Cuneta de Vía T2,ml,2018-12-13,144+500,147+000,1500
km 146+500 - 146+520,2018,Limpieza de Placas de Señalización Vertical T2,m2,2018-12-13,144+500,147+000,11.25
km 146+500 - 146+520,2018,Limpieza de Placas de Señalización Vertical T2,m2,2018-12-13,144+500,147+000,9.6
km 146+500 - 146+520,2018,Desbroce Manual T2,m2,2018-12-13,146+000,147+000,6000
km 146+500 - 146+520,2019,Limpieza Manual / Mecanizada T2,ml,2019-01-02,146+500,146+510,1
km 146+500 - 146+520,2019,Limpieza Manual de Cuneta de Vía T2,ml,2019-01-09,146+300,146+830,4
km 146+500 - 146+520,2019,Limpieza manual de juntas de cuneta de vía,ml,2019-02-20,145+300,146+500,680
km 146+500 - 146+520,2019,Remocion de Derrumbes T2,m3,2019-02-21,146+500,146+550,570
km 146+500 - 146+520,2019,Remocion de Derrumbes T2,m3,2019-02-22,146+500,146+550,885
km 146+500 - 146+520,2019,Limpieza de Delineador T2,und,2019-02-22,146+500,146+700,13
km 146+500 - 146+520,2019,Remocion de Derrumbes T2,m3,2019-02-28,146+500,146+550,120
km 146+500 - 146+520,2019,Remocion de Derrumbes T2,m3,2019-03-01,146+500,146+550,120
km 146+500 - 146+520,2019,Remocion de Derrumbes T2,m3,2019-03-19,146+500,146+530,210
km 146+500 - 146+520,2019,Limpieza mecanizada de cabezal de alcantarilla T2,m3,2019-03-19,146+500,146+520,75
km 146+500 - 146+520,2019,Remocion de Derrumbes T2,m3,2019-03-19,146+500,146+560,465
km 146+500 - 146+520,2019,Remocion de Derrumbes T2,m3,2019-03-19,146+500,146+560,435
km 146+500 - 146+520,2019,Remocion de Derrumbes T2,m3,2019-03-19,146+500,146+560,315
km 146+500 - 146+520,2019,Remocion de Derrumbes T2,m3,2019-03-19,146+500,146+560,210
km 146+500 - 146+520,2019,Remocion de Derrumbes T2,m3,2019-03-19,76+980,770+000,300
km 146+500 - 146+520,2019,Limpieza de Delineador T2,und,2019-04-30,145+200,151+300,24
km 146+500 - 146+520,2019,Limpieza de Placas de Señalización Vertical T2,m2,2019-04-30,145+200,151+300,8.4375
km 146+500 - 146+520,2019,Repintado de Postes de (hitos) kilométricos T2,m2,2019-04-30,145+200,151+300,3
km 146+500 - 146+520,2019,Desbroce Manual T2,m2,2019-05-20,144+500,147+500,12000
km 146+500 - 146+520,2019,Limpieza de juntas en cunetas y berma,ml,2019-05-20,144+500,147+500,1700
km 146+500 - 146+520,2019,Limpieza Manual de Cuneta de Vía T2,ml,2019-05-20,144+500,147+500,3000
km 146+500 - 146+520,2019,Limpieza Manual de Cuerpo de Alcantarilla T2,ml,2019-06-20,146+520,146+530,10
km 146+500 - 146+520,2019,Limpieza Manual de Cuerpo de Alcantarilla T2,ml,2019-06-24,146+520,146+530,10
km 146+500 - 146+520,2019,Limpieza Manual de Cuerpo de Alcantarilla T2,ml,2019-06-25,146+520,146+530,10
km 146+500 - 146+520,2019,Limpieza Manual de Cuerpo de Alcantarilla T2,ml,2019-08-08,146+510,146+520,10
km 146+500 - 146+520,2019,Limpieza Manual de Cuerpo de Alcantarilla T2,ml,2019-08-09,146+510,146+520,10
km 146+500 - 146+520,2019,Limpieza Manual de Cuneta de Vía T2,ml,2019-08-19,146+330,146+500,170
km 146+500 - 146+520,2019,Remocion de Derrumbes T2,m3,2019-08-19,146+520,146+540,60
km 146+500 - 146+520,2019,Remocion de Derrumbes T2,m3,2019-08-20,146+520,146+540,90
km 146+500 - 146+520,2019,Limpieza mecanizada de cabezal de alcantarilla T2,m3,2019-08-20,146+520,146+530,15
km 146+500 - 146+520,2019,Limpieza Manual de Cuneta de Vía T2,ml,2019-08-22,116+000,1116+620,150
km 146+500 - 146+520,2019,Remocion de Derrumbes T2,m3,2019-08-22,146+520,146+540,30
