Tramo,Año,Descripción,Unidad,Fecha,Inicio (km),Fin (km),Metrado
km 175+260 - 175+285,2018,Desbroce Manual T2,m2,2018-01-26,175+000,175+500,3000
km 175+260 - 175+285,2018,Limpieza Manual de Cabezal de Alcantarilla T2,ml,2018-02-02,170+390,179+900,16
km 175+260 - 175+285,2018,Limpieza de carril/pista y bermas T2,m2,2018-04-06,175+220,175+300,640
km 175+260 - 175+285,2018,Limpieza de Barandas Metálicas T2,m2,2018-04-11,174+900,179+910,20
km 175+260 - 175+285,2018,Repintado de delineador T2,und,2018-04-11,175+150,175+300,12
km 175+260 - 175+285,2018,Limpieza de guardavías,ml,2018-04-13,175+210,175+280,70
km 175+260 - 175+285,2018,Desbroce Manual T2,m2,2018-05-23,175+000,176+000,3000
km 175+260 - 175+285,2018,Limpieza Manual de Cuneta de Vía T2,ml,2018-05-23,175+000,176+000,1000
km 175+260 - 175+285,2018,Limpieza de juntas de cuneta de vía,ml,2018-05-23,175+000,176+000,850
km 175+260 - 175+285,2018,Limpieza de carril/pista y bermas T2,m2,2018-07-07,109+200,198+400,30
km 175+260 - 175+285,2018,limpieza manual de juntas de cuneta de vía,ml,2018-07-08,175+000,176+000,566.6666666666666
km 175+260 - 175+285,2018,Poda de Árboles T2,m2,2018-07-30,175+280,175+720,1560
km 175+260 - 175+285,2018,Limpieza de carril/pista y bermas T2,m2,2018-10-13,141+000,246+000,576
km 175+260 - 175+285,2018,Limpieza de carril/pista y bermas T2,m2,2018-10-14,141+000,246+000,900
km 175+260 - 175+285,2018,Limpieza manual de juntas de cuneta de vía,ml,2018-10-15,173+000,176+000,566.6666666666666
km 175+260 - 175+285,2018,Limpieza de Guardavias T2,ml,2018-10-15,173+000,176+000,20
km 175+260 - 175+285,2018,Desbroce Manual T2,m2,2018-10-15,175+000,176+000,6000
km 175+260 - 175+285,2018,Limpieza Manual de Cuneta de Vía T2,ml,2018-10-15,175+000,176+000,1000
km 175+260 - 175+285,2019,Limpieza manual de juntas de cunetas de vía,ml,2019-01-06,175+000,176+000,566.6666666666666
km 175+260 - 175+285,2019,Remocion de Derrumbes T2,m3,2019-02-14,175+280,175+300,75
km 175+260 - 175+285,2019,#N/A,#N/A,2019-03-19,174+500,176+500,1133.3333333333333
km 175+260 - 175+285,2019,Limpieza Manual de Cuneta de Vía T2,ml,2019-03-19,174+500,176+500,2000
km 175+260 - 175+285,2019,Limpieza de Placas de Señalización Vertical T2,m2,2019-03-19,174+500,176+500,6.75
km 175+260 - 175+285,2019,Limpieza de Placas de Señalización Vertical T2,m2,2019-03-19,174+500,176+500,6.72
km 175+260 - 175+285,2019,Limpieza de Delineador T2,und,2019-03-19,174+500,176+500,28
km 175+260 - 175+285,2019,Desbroce Manual T2,m2,2019-03-19,175+000,176+000,6000
km 175+260 - 175+285,2019,Remocion de Derrumbes T2,m3,2019-03-19,76+980,770+000,300
km 175+260 - 175+285,2019,Limpieza de juntas en cunetas y berma,ml,2019-05-20,173+500,179+000,3116.6666666666665
km 175+260 - 175+285,2019,Limpieza Manual de Cuneta de Vía T2,ml,2019-08-22,116+000,1116+620,150
km 175+260 - 175+285,2019,Desbroce Manual T2,m2,2019-09-09,175+000,175+400,800
km 175+260 - 175+285,2019,Limpieza Manual de Cuneta de Vía T2,ml,2019-09-12,175+200,175+290,90
km 175+260 - 175+285,2019,Limpieza Manual de Cuneta de Vía T2,ml,2019-10-22,139+300,239+400,100
km 175+260 - 175+285,2019,Limpieza Manual / Mecanizada T2,ml,2019-11-23,175+250,175+270,20
km 175+260 - 175+285,2019,Limpieza Manual de Cuneta de Vía T2,ml,2019-12-04,114+500,214+600,100
km 175+260 - 175+285,2020,Limpieza de Deslizamientos Menores < 15 m3 T2,m3,2019-12-29,64+150,646+160,10
km 175+260 - 175+285,2020,Desbroce Manual T2,m2,2020-01-10,174+600,175+400,4800
km 175+260 - 175+285,2020,Limpieza Manual de Cuneta de Vía T2,ml,2020-01-10,174+600,175+400,800
km 175+260 - 175+285,2020,Reposición de Tachas Reflectivas T2,und,2020-01-23,42+000,434+000,27
km 175+260 - 175+285,2020,Reposición de Tachas Reflectivas T2,und,2020-01-23,42+000,434+000,26
km 175+260 - 175+285,2020,Desbroce Manual T2,m2,2020-01-24,174+600,175+400,4800
km 175+260 - 175+285,2020,Limpieza Manual de Cuneta de Vía T2,ml,2020-01-24,174+600,175+400,800
km 175+260 - 175+285,2020,Limpieza de carril/pista y bermas T2,m2,2020-02-21,126+380,196+400,20
km 175+260 - 175+285,2020,Desbroce Manual T2,m2,2020-03-05,174+900,175+500,1800
km 175+260 - 175+285,2020,Limpieza Manual de Cuneta de Vía T2,ml,2020-03-05,174+900,175+500,600
km 175+260 - 175+285,2020,Limpieza de Juntas en Cuneta y Berma,ml,2020-03-05,174+900,175+500,340
km 175+260 - 175+285,2020,Limpieza de carril/pista y bermas T2,m2,2020-03-20,175+253,175+264,39.6
km 175+260 - 175+285,2020,Desbroce Manual T2,m2,2020-04-06,175+000,175+300,900
km 175+260 - 175+285,2020,Limpieza Manual de Cuneta de Vía T2,ml,2020-04-06,175+000,175+300,300
km 175+260 - 175+285,2020,Limpieza de Juntas en Cuneta y Berma,ml,2020-04-06,175+000,175+300,170
km 175+260 - 175+285,2020,Limpieza Manual de Cuneta de Vía T2,ml,2020-04-07,173+600,184+000,400
km 175+260 - 175+285,2020,Limpieza de Juntas en Cuneta y Berma,ml,2020-04-07,173+600,184+000,226.66666666666666
km 175+260 - 175+285,2020,Limpieza mecanizada de cabezal de alcantarilla T2,m3,2020-04-28,156+890,186+900,8
km 175+260 - 175+285,2020,Limpieza de carril/pista y bermas T2,m2,2020-05-13,160+500,180+503,10.8
km 175+260 - 175+285,2020,Limpieza Manual de Cuneta de Vía T2,ml,2020-06-16,170+500,179+650,150
km 175+260 - 175+285,2020,Limpieza de Placas de Señalización Vertical T2,m2,2020-08-10,174+000,176+000,5.625
km 175+260 - 175+285,2020,Limpieza de Placas de Señalización Vertical T2,m2,2020-08-10,174+000,176+000,7.68
km 175+260 - 175+285,2020,Limpieza de Postes de Señalización Vertical T2,und,2020-08-10,174+000,176+000,18
km 175+260 - 175+285,2020,Desbroce Manual T2,m2,2020-08-10,175+000,176+000,6000
km 175+260 - 175+285,2020,Limpieza Manual de Cuneta de Vía T2,ml,2020-08-10,175+000,176+000,1000
