Tramo,Año,Descripción,Unidad,Fecha,Inicio (km),Fin (km),Metrado
km 214+580 - 214+630,2018,Limpieza de carril/pista y bermas T2,m2,2018-06-16,214+620,214+640,20
km 214+580 - 214+630,2018,Limpieza de carril/pista y bermas T2,m2,2018-06-17,214+600,214+630,30
km 214+580 - 214+630,2018,Limpieza de carril/pista y bermas T2,m2,2018-06-23,214+600,214+620,20
km 214+580 - 214+630,2018,Limpieza de carril/pista y bermas T2,m2,2018-06-24,214+620,214+630,10
km 214+580 - 214+630,2018,Limpieza de carril/pista y bermas T2,m2,2018-06-27,214+600,214+620,30
km 214+580 - 214+630,2018,Limpieza de carril/pista y bermas T2,m2,2018-06-28,214+600,214+650,70
km 214+580 - 214+630,2018,Limpieza Manual de Cuneta de Vía T2,ml,2018-07-01,214+600,214+680,80
km 214+580 - 214+630,2018,Limpieza de carril/pista y bermas T2,m2,2018-07-01,214+600,214+650,50
km 214+580 - 214+630,2018,Limpieza de carril/pista y bermas T2,m2,2018-07-03,214+600,214+650,50
km 214+580 - 214+630,2018,Repintado de Postes de Señalización Vertical T2,m2,2018-07-23,214+580,214+660,5
km 214+580 - 214+630,2018,Repintado de Parapetos Muros T2,m2,2018-07-23,214+580,214+595,7.8
km 214+580 - 214+630,2018,Limpieza de carril/pista y bermas T2,m2,2018-08-02,214+580,214+640,216
km 214+580 - 214+630,2018,Limpieza de carril/pista y bermas T2,m2,2018-08-04,214+600,214+630,30
km 214+580 - 214+630,2018,Limpieza de carril/pista y bermas T2,m2,2018-08-05,214+600,214+630,30
km 214+580 - 214+630,2018,Limpieza Manual de Cuneta de Vía T2,ml,2018-08-06,214+580,214+620,400
km 214+580 - 214+630,2018,Repintado de Postes de (hitos) kilométricos T2,m2,2018-08-07,213+500,215+500,2.25
km 214+580 - 214+630,2018,Desbroce Manual T2,m2,2018-08-07,214+000,215+000,6000
km 214+580 - 214+630,2018,Limpieza manual de juntas de cuneta de vía,ml,2018-08-07,214+000,215+000,566.6666666666666
km 214+580 - 214+630,2018,Limpieza Manual de Cuneta de Vía T2,ml,2018-08-07,214+000,215+000,1000
km 214+580 - 214+630,2018,Limpieza mecanizada de cabezal de alcantarilla T2,m3,2018-08-10,214+590,214+600,30
km 214+580 - 214+630,2018,Limpieza de carril/pista y bermas T2,m2,2018-08-14,214+580,214+640,60
km 214+580 - 214+630,2018,Limpieza de carril/pista y bermas T2,m2,2018-08-15,214+600,214+640,40
km 214+580 - 214+630,2018,Limpieza Manual de Cuneta de Vía T2,ml,2018-08-18,214+600,214+620,20
km 214+580 - 214+630,2018,Limpieza de carril/pista y bermas T2,m2,2018-08-20,214+600,214+640,40
km 214+580 - 214+630,2018,Limpieza de carril/pista y bermas T2,m2,2018-08-21,214+580,214+640,60
km 214+580 - 214+630,2018,Limpieza de carril/pista y bermas T2,m2,2018-08-21,214+580,214+640,60
km 214+580 - 214+630,2018,Limpieza de carril/pista y bermas T2,m2,2018-08-25,214+580,214+620,50
km 214+580 - 214+630,2018,Limpieza de carril/pista y bermas T2,m2,2018-08-26,214+600,214+620,80
km 214+580 - 214+630,2018,Limpieza Manual de Cuneta de Vía T2,ml,2018-08-27,214+580,214+640,60
km 214+580 - 214+630,2018,Limpieza de carril/pista y bermas T2,m2,2018-08-30,214+600,214+620,20
km 214+580 - 214+630,2018,Limpieza de carril/pista y bermas T2,m2,2018-09-02,214+620,214+640,20
km 214+580 - 214+630,2018,Limpieza de carril/pista y bermas T2,m2,2018-09-14,214+600,214+640,40
km 214+580 - 214+630,2018,Limpieza de carril/pista y bermas T2,m2,2018-09-16,214+570,214+580,10
km 214+580 - 214+630,2018,Limpieza de carril/pista y bermas T2,m2,2018-09-16,214+600,214+630,30
km 214+580 - 214+630,2018,Limpieza mecanizada de cabezal de alcantarilla T2,m3,2018-09-16,214+600,214+610,15
km 214+580 - 214+630,2018,Limpieza de carril/pista y bermas T2,m2,2018-09-18,214+600,214+620,50
km 214+580 - 214+630,2018,Limpieza de carril/pista y bermas T2,m2,2018-09-20,214+580,214+680,120
km 214+580 - 214+630,2018,Limpieza de carril/pista y bermas T2,m2,2018-09-23,214+600,214+670,100
km 214+580 - 214+630,2018,Limpieza de carril/pista y bermas T2,m2,2018-09-29,214+600,214+620,20
km 214+580 - 214+630,2018,Limpieza Manual de Cuneta de Vía T2,ml,2018-10-03,214+600,214+640,40
km 214+580 - 214+630,2018,Limpieza de Deslizamientos Menores < 15 m3 T2,m3,2018-10-06,214+600,214+640,15
km 214+580 - 214+630,2018,Limpieza Manual de Cuneta de Vía T2,ml,2018-10-07,212+000,223+000,4000
km 214+580 - 214+630,2018,Limpieza de carril/pista y bermas T2,m2,2018-10-13,141+000,246+000,576
km 214+580 - 214+630,2018,Limpieza de carril/pista y bermas T2,m2,2018-10-14,141+000,246+000,900
km 214+580 - 214+630,2018,Limpieza de carril/pista y bermas T2,m2,2018-10-16,214+000,214+600,300
km 214+580 - 214+630,2018,Limpieza Manual de Cuneta de Vía T2,ml,2018-10-21,198+000,220+000,2500
km 214+580 - 214+630,2018,Limpieza de carril/pista y bermas T2,m2,2018-11-15,214+600,214+620,10
km 214+580 - 214+630,2018,Limpieza de carril/pista y bermas T2,m2,2018-12-03,214+000,214+700,432
km 214+580 - 214+630,2019,Limpieza Manual de Cuneta de Vía T2,ml,2018-12-28,214+600,214+630,30
km 214+580 - 214+630,2019,Remocion de Derrumbes T2,m3,2019-01-13,214+630,214+645,30
km 214+580 - 214+630,2019,Limpieza de carril/pista y bermas T2,m2,2019-02-01,214+620,214+630,144
km 214+580 - 214+630,2019,Limpieza de carril/pista y bermas T2,m2,2019-02-02,214+600,214+640,40
km 214+580 - 214+630,2019,Limpieza de carril/pista y bermas T2,m2,2019-02-03,214+600,214+610,10
km 214+580 - 214+630,2019,Limpieza de Barandas Metálicas T2,m2,2019-02-04,210+020,219+080,16
km 214+580 - 214+630,2019,Limpieza Manual de Cuneta de Vía T2,ml,2019-02-08,214+600,214+700,10
km 214+580 - 214+630,2019,Limpieza de carril/pista y bermas T2,m2,2019-02-20,214+600,214+620,20
km 214+580 - 214+630,2019,Remocion de Derrumbes T2,m3,2019-03-01,214+600,214+620,45
km 214+580 - 214+630,2019,Remocion de Derrumbes T2,m3,2019-03-04,214+600,214+620,90
km 214+580 - 214+630,2019,Remocion de Derrumbes T2,m3,2019-03-05,214+600,214+620,135
km 214+580 - 214+630,2019,Desbroce Manual T2,m2,2019-03-07,212+000,215+000,12000
km 214+580 - 214+630,2019,Limpieza Juntas de Cuneta y Berma,#N/A,2019-03-07,212+000,215+000,1700
km 214+580 - 214+630,2019,Limpieza Manual de Cuneta de Vía T2,ml,2019-03-07,212+000,215+000,3000
km 214+580 - 214+630,2019,Limpieza de carril/pista y bermas T2,m2,2019-03-08,214+570,214+590,30
km 214+580 - 214+630,2019,Limpieza de carril/pista y bermas T2,m2,2019-03-09,214+600,214+620,72
km 214+580 - 214+630,2019,Limpieza de Barandas Metálicas T2,m2,2019-03-19,207+390,2017+400,20
km 214+580 - 214+630,2019,#N/A,#N/A,2019-03-19,213+000,216+000,1700
km 214+580 - 214+630,2019,Remocion de Derrumbes T2,m3,2019-03-19,214+580,214+600,480
km 214+580 - 214+630,2019,Remocion de Derrumbes T2,m3,2019-03-19,214+580,214+600,120
km 214+580 - 214+630,2019,Remocion de Derrumbes T2,m3,2019-03-19,214+580,214+600,90
km 214+580 - 214+630,2019,Remocion de Derrumbes T2,m3,2019-03-19,214+580,214+600,15
km 214+580 - 214+630,2019,Limpieza de carril/pista y bermas T2,m2,2019-03-19,214+600,214+620,72
km 214+580 - 214+630,2019,Limpieza de carril/pista y bermas T2,m2,2019-03-19,214+600,214+620,72
km 214+580 - 214+630,2019,Remocion de Derrumbes T2,m3,2019-03-19,76+980,770+000,300
km 214+580 - 214+630,2019,Limpieza Manual de Cuneta de Vía T2,ml,2019-03-25,214+570,214+600,30
km 214+580 - 214+630,2019,Limpieza de Deslizamientos Menores < 15 m3 T2,m3,2019-03-25,214+580,214+600,15
km 214+580 - 214+630,2019,Limpieza de carril/pista y bermas T2,m2,2019-03-25,214+610,214+640,30
km 214+580 - 214+630,2019,Limpieza Manual de Cuneta de Vía T2,ml,2019-05-08,214+600,214+650,50
km 214+580 - 214+630,2019,Limpieza de carril/pista y bermas T2,m2,2019-05-11,214+600,214+620,72
km 214+580 - 214+630,2019,Limpieza de carril/pista y bermas T2,m2,2019-05-26,214+600,214+650,180
km 214+580 - 214+630,2019,Limpieza Manual de Cuneta de Vía T2,ml,2019-06-09,214+600,214+650,50
km 214+580 - 214+630,2019,Limpieza Manual de Cuneta de Vía T2,ml,2019-06-28,214+500,214+600,100
km 214+580 - 214+630,2019,Limpieza Manual de Cuneta de Vía T2,ml,2019-08-01,214+600,214+660,60
km 214+580 - 214+630,2019,Limpieza Manual de Cuneta de Vía T2,ml,2019-08-22,116+000,1116+620,150
km 214+580 - 214+630,2019,Desbroce Manual T2,m2,2019-09-05,214+000,215+500,9000
km 214+580 - 214+630,2019,Limpieza de juntas en cunetas y berma,ml,2019-09-05,214+000,215+500,850
km 214+580 - 214+630,2019,Limpieza Manual de Cuneta de Vía T2,ml,2019-09-05,214+000,215+500,1500
km 214+580 - 214+630,2019,Limpieza de Placas de Señalización Vertical T2,m2,2019-09-05,214+000,215+500,7.3125
km 214+580 - 214+630,2019,Limpieza de Placas de Señalización Vertical T2,m2,2019-09-05,214+000,215+500,2.88
km 214+580 - 214+630,2019,Limpieza de Delineador T2,und,2019-09-05,214+000,215+500,23
km 214+580 - 214+630,2019,Limpieza Manual de Cuneta de Vía T2,ml,2019-09-11,214+590,214+640,50
km 214+580 - 214+630,2019,Limpieza de carril/pista y bermas T2,m2,2019-09-21,214+000,214+600,576
km 214+580 - 214+630,2019,Limpieza de carril/pista y bermas T2,m2,2019-09-21,214+600,214+650,180
km 214+580 - 214+630,2019,Limpieza de carril/pista y bermas T2,m2,2019-09-29,214+630,214+650,72
km 214+580 - 214+630,2019,Limpieza Manual de Cuneta de Vía T2,ml,2019-10-22,139+300,239+400,100
km 214+580 - 214+630,2019,Limpieza de Guardavías T2,ml,2019-10-24,214+620,214+640,20
km 214+580 - 214+630,2019,Limpieza Manual de Cuneta de Vía T2,ml,2019-11-03,214+600,214+630,30
km 214+580 - 214+630,2019,Limpieza mecanizada de cabezal de alcantarilla T2,m3,2019-11-04,214+580,214+590,15
km 214+580 - 214+630,2019,Limpieza Manual de Cuneta de Vía T2,ml,2019-11-11,212+180,2122+230,50
km 214+580 - 214+630,2019,Limpieza de carril/pista y bermas T2,m2,2019-11-24,214+620,214+640,72
km 214+580 - 214+630,2019,Limpieza Manual de Cuneta de Vía T2,ml,2019-12-04,114+500,214+600,100
km 214+580 - 214+630,2019,Limpieza Manual de Cuneta de Vía T2,ml,2019-12-20,214+250,214+700,450
km 214+580 - 214+630,2020,Limpieza de Deslizamientos Menores < 15 m3 T2,m3,2019-12-29,64+150,646+160,10
km 214+580 - 214+630,2020,Limpieza Manual de Cuneta de Vía T2,ml,2020-01-07,193+000,913+800,800
km 214+580 - 214+630,2020,Limpieza Manual de Cabezal de Alcantarilla T2,ml,2020-01-18,214+600,214+610,10
km 214+580 - 214+630,2020,Desbroce Manual T2,m2,2020-01-22,212+200,214+800,15600
km 214+580 - 214+630,2020,Limpieza Manual de Cuneta de Vía T2,ml,2020-01-22,212+200,214+800,2600
km 214+580 - 214+630,2020,Limpieza de juntas en cuneta y berma,ml,2020-01-22,212+200,214+800,1473.3333333333333
km 214+580 - 214+630,2020,Limpieza de Delineador T2,und,2020-01-22,212+700,214+800,41
km 214+580 - 214+630,2020,Limpieza de Placas de Señalización Vertical T2,m2,2020-01-22,212+700,214+800,10.6875
km 214+580 - 214+630,2020,Reposición de Tachas Reflectivas T2,und,2020-01-23,42+000,434+000,27
km 214+580 - 214+630,2020,Reposición de Tachas Reflectivas T2,und,2020-01-23,42+000,434+000,26
km 214+580 - 214+630,2020,Limpieza Manual de Cuerpo de Alcantarilla T2,ml,2020-02-03,214+580,214+590,10
km 214+580 - 214+630,2020,Limpieza Manual de Cabezal de Alcantarilla T2,ml,2020-02-03,214+580,214+590,20
km 214+580 - 214+630,2020,Limpieza Manual de Cuneta de Vía T2,ml,2020-04-19,214+095,224+100,10
km 214+580 - 214+630,2020,Limpieza de carril/pista y bermas T2,m2,2020-05-13,214+600,214+620,72
km 214+580 - 214+630,2020,Limpieza de carril/pista y bermas T2,m2,2020-05-16,214+620,214+624,14.4
km 214+580 - 214+630,2020,Limpieza Manual de Cuneta de Vía T2,ml,2020-05-24,214+620,214+640,30
km 214+580 - 214+630,2020,Limpieza de Juntas en Cuneta y Berma,ml,2020-05-24,214+620,214+640,25.5
km 214+580 - 214+630,2020,Limpieza de carril/pista y bermas T2,m2,2020-06-05,214+600,214+630,33.6
km 214+580 - 214+630,2020,Limpieza mecanizada de cabezal de alcantarilla T2,m3,2020-06-13,214+600,214+610,45
km 214+580 - 214+630,2020,Limpieza Manual de Cuneta de Vía T2,ml,2020-06-24,214+000,215+000,800
km 214+580 - 214+630,2020,Desbroce Manual T2,m2,2020-06-24,214+220,215+000,2400
km 214+580 - 214+630,2020,Limpieza de Juntas en Cunetas y Bermas,ml,2020-06-24,214+220,215+000,453.3333333333333
km 214+580 - 214+630,2020,Limpieza Manual de Cuneta de Vía T2,ml,2020-06-26,214+200,214+860,640
km 214+580 - 214+630,2020,Desbroce Manual T2,m2,2020-06-30,214+000,215+000,3000
km 214+580 - 214+630,2020,Limpieza mecanizada de cabezal de alcantarilla T2,m3,2020-07-20,213+450,215+455,15
km 214+580 - 214+630,2020,Limpieza Manual de Cuneta de Vía T2,ml,2020-08-06,214+600,214+650,50
km 214+580 - 214+630,2020,Limpieza de Juntas en Cunetas y Bermas,ml,2020-08-06,214+600,214+650,28.333333333333332
km 214+580 - 214+630,2020,Reposición de Delineador T2,und,2020-09-15,212+200,221+150,4
km 214+580 - 214+630,2020,Repintado de delineador T2,und,2020-09-15,212+200,221+150,4
km 214+580 - 214+630,2020,Limpieza mecanizada de cabezal de alcantarilla T2,m3,2020-09-18,214+590,214+600,15
km 214+580 - 214+630,2020,Limpieza Manual de Cuneta de Vía T2,ml,2020-09-21,174+519,3174+561,42
km 214+580 - 214+630,2020,Limpieza de Guardavías T2,ml,2020-10-02,214+565,214+581,16
km 214+580 - 214+630,2020,Limpieza Manual de Cuneta de Vía T2,ml,2020-10-19,22+530,222+600,70
km 214+580 - 214+630,2020,Limpieza Residuos Solidos / Basuras,m2,2020-11-15,214+150,214+700,90
km 214+580 - 214+630,2020,Limpieza mecanizada de cabezal de alcantarilla T2,m3,2020-11-21,214+590,214+620,60
km 214+580 - 214+630,2020,Limpieza mecanizada de cabezal de alcantarilla T2,m3,2020-11-22,214+590,214+620,30
km 214+580 - 214+630,2020,Limpieza Manual de Cuneta de Vía T2,ml,2020-11-26,214+200,215+800,150
km 214+580 - 214+630,2020,Limpieza de Juntas en Cunetas y Bermas,ml,2020-11-26,214+200,215+800,85
km 214+580 - 214+630,2020,Limpieza Manual de Cuneta de Vía T2,ml,2020-11-29,214+600,214+620,20
km 214+580 - 214+630,2020,Limpieza de Juntas en Cunetas y Bermas,ml,2020-11-29,214+600,214+620,11.333333333333334
km 214+580 - 214+630,2020,Limpieza Manual de Cabezal de Alcantarilla T2,ml,2020-12-02,214+580,214+585,25
km 214+580 - 214+630,2021,Desbroce Manual T2,m2,2021-01-28,204+760,2043+840,40
km 214+580 - 214+630,2021,Limpieza mecanizada de cabezal de alcantarilla T2,m3,2021-02-05,214+590,214+590,30
km 214+580 - 214+630,2021,Limpieza de Deslizamientos Menores < 15 m3 T2,m3,2021-02-20,214+600,214+630,15
km 214+580 - 214+630,2021,Limpieza Manual de Cabezal de Alcantarilla T2,ml,2021-02-20,214+600,214+605,12
km 214+580 - 214+630,2021,Limpieza de carril/pista y bermas T2,m2,2021-02-21,214+610,214+630,72
km 214+580 - 214+630,2021,Limpieza Manual de Cuneta de Vía T2,ml,2021-03-14,214+629,214+650,20
km 214+580 - 214+630,2021,Limpieza de carril/pista y bermas T2,m2,2021-03-27,214+600,214+700,120
km 214+580 - 214+630,2021,Limpieza Manual de Cuneta de Vía T2,ml,2021-03-29,132+150,232+480,300
km 214+580 - 214+630,2021,Limpieza de Juntas en Cunetas y Bermas,ml,2021-03-29,132+150,232+480,170
km 214+580 - 214+630,2021,Limpieza Manual de Cuneta de Vía T2,ml,2021-04-03,214+610,214+615,5
km 214+580 - 214+630,2021,Limpieza de postes (hitos) kilométricos T2,und,2021-04-07,140+300,231+510,1
km 214+580 - 214+630,2021,Limpieza Manual de Cuneta de Vía T2,ml,2021-04-11,214+600,214+650,50
km 214+580 - 214+630,2021,Limpieza de carril/pista y bermas T2,m2,2021-04-24,214+600,214+630,50
km 214+580 - 214+630,2021,Limpieza Manual de Cuneta de Vía T2,ml,2021-05-11,214+450,214+700,250
km 214+580 - 214+630,2021,Limpieza de Deslizamientos Menores < 15 m3 T2,m3,2021-05-11,214+540,214+600,15
km 214+580 - 214+630,2021,Limpieza de Deslizamientos Menores < 15 m3 T2,m3,2021-05-11,214+600,214+650,25
km 214+580 - 214+630,2021,Limpieza de Guardavías T2,ml,2021-05-20,204+740,220+800,60
km 214+580 - 214+630,2021,Limpieza Manual de Cuneta de Vía T2,ml,2021-05-23,214+600,214+630,30
km 214+580 - 214+630,2021,Limpieza de Juntas en Cunetas y Bermas,ml,2021-05-23,214+600,214+630,17
km 214+580 - 214+630,2021,Limpieza de carril/pista y bermas T2,m2,2021-05-24,214+600,214+650,20
km 214+580 - 214+630,2021,Limpieza de Deslizamientos Menores < 15 m3 T2,m3,2021-05-30,214+600,214+650,5
km 214+580 - 214+630,2021,Limpieza Manual de Cuerpo de Alcantarilla T2,ml,2021-06-02,214+580,214+590,10
km 214+580 - 214+630,2021,Remocion de Derrumbes T2,m3,2021-06-11,214+580,214+620,30
km 214+580 - 214+630,2021,Remocion de Derrumbes T2,m3,2021-06-12,214+580,214+620,195
km 214+580 - 214+630,2021,Remocion de Derrumbes T2,m3,2021-06-15,214+580,214+620,15
km 214+580 - 214+630,2021,Remocion de Derrumbes T2,m3,2021-06-16,214+580,214+620,60
km 214+580 - 214+630,2021,Limpieza de Deslizamientos Menores < 15 m3 T2,m3,2021-06-25,214+580,214+600,20
km 214+580 - 214+630,2021,Limpieza Manual de Cuneta de Vía T2,ml,2021-06-26,214+580,214+620,20
km 214+580 - 214+630,2021,Limpieza de Deslizamientos Menores < 15 m3 T2,m3,2021-06-27,214+580,214+620,15
km 214+580 - 214+630,2021,Remocion de Derrumbes T2,m3,2021-06-28,214+580,214+620,405
km 214+580 - 214+630,2021,Limpieza Manual de Cuneta de Vía T2,ml,2021-07-02,209+200,230+000,800
km 214+580 - 214+630,2021,Limpieza Residuos Solidos / Basuras,m2,2021-07-02,209+200,230+300,40
km 214+580 - 214+630,2021,Limpieza de carril/pista y bermas T2,m2,2021-07-04,214+600,214+620,20
km 214+580 - 214+630,2021,Remocion de Derrumbes T2,m3,2021-07-06,214+580,214+620,75
km 214+580 - 214+630,2021,Remocion de Derrumbes T2,m3,2021-07-07,214+580,214+620,60
km 214+580 - 214+630,2021,Remocion de Derrumbes T2,m3,2021-07-08,214+580,214+620,60
km 214+580 - 214+630,2021,Limpieza Residuos Solidos / Basuras,m2,2021-07-18,214+600,214+630,30
km 214+580 - 214+630,2021,Limpieza de carril/pista y bermas T2,m2,2021-07-25,214+100,214+750,650
km 214+580 - 214+630,2021,Desbroce Manual T2,m2,2021-07-27,211+900,222+070,510
km 214+580 - 214+630,2021,Limpieza Residuos Solidos / Basuras,m2,2021-07-28,214+600,214+620,20
km 214+580 - 214+630,2021,Limpieza de carril/pista y bermas T2,m2,2021-08-04,214+540,214+660,360
km 214+580 - 214+630,2021,Limpieza Manual de Cuneta de Vía T2,ml,2021-08-04,214+580,214+596,16
km 214+580 - 214+630,2021,Limpieza de carril/pista y bermas T2,m2,2021-08-04,214+600,214+750,450
km 214+580 - 214+630,2021,Limpieza Manual de Cuneta de Vía T2,ml,2021-08-04,214+630,214+650,20
km 214+580 - 214+630,2021,Limpieza de carril/pista y bermas T2,m2,2021-08-08,214+600,214+620,72
km 214+580 - 214+630,2021,Desbroce Manual T2,m2,2021-08-13,214+500,215+000,3000
km 214+580 - 214+630,2021,Limpieza Manual de Cuneta de Vía T2,ml,2021-08-13,214+500,216+000,1500
km 214+580 - 214+630,2021,Limpieza Residuos Solidos / Basuras,m2,2021-08-13,214+500,216+000,80
km 214+580 - 214+630,2021,Limpieza de Juntas en Cunetas y Bermas,ml,2021-08-13,214+500,216+000,850
km 214+580 - 214+630,2021,Limpieza Manual de Cuneta de Vía T2,ml,2021-08-26,214+520,214+590,70
km 214+580 - 214+630,2021,Limpieza de carril/pista y bermas T2,m2,2021-08-26,214+600,214+620,60
km 214+580 - 214+630,2021,Limpieza mecanizada de cabezal de alcantarilla T2,m3,2021-09-02,214+580,214+590,160
km 214+580 - 214+630,2021,Limpieza Manual de Cuneta de Vía T2,ml,2021-09-05,214+600,214+620,20
km 214+580 - 214+630,2021,Limpieza de carril/pista y bermas T2,m2,2021-09-11,214+600,214+650,120
km 214+580 - 214+630,2021,Limpieza de Deslizamientos Menores < 15 m3 T2,m3,2021-09-16,214+600,214+620,20
km 214+580 - 214+630,2021,Limpieza de carril/pista y bermas T2,m2,2021-09-22,214+450,214+600,100
km 214+580 - 214+630,2021,Limpieza de carril/pista y bermas T2,m2,2021-09-28,214+600,214+620,20
km 214+580 - 214+630,2021,Limpieza Manual de Cuerpo de Alcantarilla T2,ml,2021-10-04,214+580,214+590,10
km 214+580 - 214+630,2021,Limpieza de carril/pista y bermas T2,m2,2021-10-15,212+450,217+900,80
km 214+580 - 214+630,2021,Limpieza de carril/pista y bermas T2,m2,2021-11-01,214+600,214+620,20
km 214+580 - 214+630,2021,Limpieza mecanizada de cabezal de alcantarilla T2,m3,2021-11-02,214+580,214+590,15
km 214+580 - 214+630,2021,Limpieza de carril/pista y bermas T2,m2,2021-11-12,214+590,214+620,40
km 214+580 - 214+630,2021,Limpieza de carril/pista y bermas T2,m2,2021-11-18,214+570,214+590,40
km 214+580 - 214+630,2021,Limpieza Manual de Cuneta de Vía T2,ml,2021-11-26,214+500,214+600,100
km 214+580 - 214+630,2021,Desbroce Manual T2,m2,2021-12-15,213+300,217+700,4800
km 214+580 - 214+630,2021,Limpieza Manual de Cuneta de Vía T2,ml,2021-12-20,214+500,214+650,150
km 214+580 - 214+630,2021,Limpieza mecanizada de cabezal de alcantarilla T2,m3,2021-12-20,214+570,214+580,45
km 214+580 - 214+630,2021,Limpieza Manual de Cuneta de Vía T2,ml,2021-12-22,205+900,217+980,80
km 214+580 - 214+630,2022,Limpieza Residuos Sólidos / Basuras,m2,2021-12-26,111+600,214+630,30
km 214+580 - 214+630,2022,Repintado de Parapetos Muros T2,m2,2022-01-05,144+167,244+180,7.8
km 214+580 - 214+630,2022,Limpieza de carril/pista y bermas T2,m2,2022-01-15,214+600,214+620,60
km 214+580 - 214+630,2022,Limpieza de carril/pista y bermas T2,m2,2022-02-06,214+600,214+620,20
km 214+580 - 214+630,2022,Remocion de Derrumbes T2,m3,2022-02-08,214+570,214+590,150
km 214+580 - 214+630,2022,Limpieza Manual de Cuneta de Vía T2,ml,2022-02-08,214+600,214+950,350
