Tramo,Año,Descripción,Unidad,Fecha,Inicio (km),Fin (km),Metrado
km 214+580 - 214+630,2018,Limpieza de carril/pista y bermas T2,m2,2018-01-01,214+600,214+620,10
km 214+580 - 214+630,2018,Limpieza mecanizada de cabezal de alcantarilla T2,m3,2018-01-02,214+590,214+600,45
km 214+580 - 214+630,2018,Limpieza Mecanizada de Cabezal de Alcantarilla,m3,2018-01-27,214+590,214+600,30
km 214+580 - 214+630,2018,Limpieza Mecanizada de Cabezal de Alcantarilla,m3,2018-01-28,214+590,214+600,75
km 214+580 - 214+630,2018,Limpieza Manual de Cuerpo de Alcantarilla T2,ml,2018-02-05,214+580,214+600,20
km 214+580 - 214+630,2018,Limpieza Manual de Cuerpo de Alcantarilla T2,ml,2018-02-06,214+580,214+600,20
km 214+580 - 214+630,2018,Remocion de Derrumbes T2,m3,2018-02-07,214+580,214+600,60
km 214+580 - 214+630,2018,Remocion de Derrumbes T2,m3,2018-02-14,214+580,214+600,15
km 214+580 - 214+630,2018,Remocion de Derrumbes T2,m3,2018-02-15,214+580,214+600,45
km 214+580 - 214+630,2018,Remocion de Derrumbes T2,m3,2018-02-16,214+580,214+600,60
km 214+580 - 214+630,2018,Limpieza de postes (hitos) kilométricos T2,und,2018-03-06,186+000,236+000,50
km 214+580 - 214+630,2018,Limpieza de Deslizamientos Menores < 15 m3 T2,m3,2018-03-17,214+630,214+650,20
km 214+580 - 214+630,2018,Limpieza de carril/pista y bermas T2,m2,2018-03-18,214+600,214+620,20
km 214+580 - 214+630,2018,Limpieza Manual de Cuneta de Vía T2,ml,2018-03-25,214+590,214+600,10
km 214+580 - 214+630,2018,Remocion de Derrumbes T2,m3,2018-03-27,214+580,214+600,150
km 214+580 - 214+630,2018,Remocion de Derrumbes T2,m3,2018-03-27,214+580,214+600,150
km 214+580 - 214+630,2018,Remocion de Derrumbes T2,m3,2018-04-10,214+580,214+600,30
km 214+580 - 214+630,2018,Limpieza de Deslizamientos Menores < 15 m3 T2,m3,2018-04-15,214+600,214+620,15
km 214+580 - 214+630,2018,Desbroce Manual T2,m2,2018-04-19,214+000,215+000,6000
km 214+580 - 214+630,2018,Limpieza de Delineador T2,und,2018-04-19,214+000,215+000,16
km 214+580 - 214+630,2018,Limpieza de Placas de Señalización Vertical T2,m2,2018-04-19,214+000,215+000,2.25
km 214+580 - 214+630,2018,Limpieza de Deslizamientos Menores < 15 m3 T2,m3,2018-04-21,214+500,214+590,8
km 214+580 - 214+630,2018,Limpieza de Deslizamientos Menores < 15 m3 T2,m3,2018-04-21,214+600,214+680,7
km 214+580 - 214+630,2018,Limpieza de carril/pista y bermas T2,m2,2018-05-06,214+600,214+640,40
km 214+580 - 214+630,2018,Limpieza de carril/pista y bermas T2,m2,2018-05-12,214+630,214+640,10
km 214+580 - 214+630,2018,Limpieza de carril/pista y bermas T2,m2,2018-05-13,214+600,214+630,30
km 214+580 - 214+630,2018,Limpieza de Parapetos Veredas de Concreto T2,m2,2018-05-23,214+000,215+000,120
km 214+580 - 214+630,2018,Limpieza de guardavías,ml,2018-05-23,214+000,215+000,140
km 214+580 - 214+630,2018,Limpieza de Postes de Señalización Vertical T2,und,2018-05-23,214+000,215+000,14
km 214+580 - 214+630,2018,Limpieza de Placas de Señalización Vertical T2,m2,2018-05-23,214+000,215+000,10.5
km 214+580 - 214+630,2018,Limpieza de Delineador T2,und,2018-05-23,214+000,215+000,30
km 214+580 - 214+630,2018,Limpieza de Placas de Señalización Vertical T2,m2,2018-05-23,214+000,215+000,0.72
km 214+580 - 214+630,2018,Limpieza de carril/pista y bermas T2,m2,2018-05-30,214+600,214+650,50
km 214+580 - 214+630,2018,Limpieza de carril/pista y bermas T2,m2,2018-05-31,214+600,214+650,50
km 214+580 - 214+630,2018,Limpieza de carril/pista y bermas T2,m2,2018-06-02,214+600,214+620,20
km 214+580 - 214+630,2018,Limpieza de carril/pista y bermas T2,m2,2018-06-03,214+630,214+640,10
km 214+580 - 214+630,2018,Limpieza Manual de Cuneta de Vía T2,ml,2018-06-05,213+000,216+100,3000
km 214+580 - 214+630,2018,Limpieza de carril/pista y bermas T2,m2,2018-06-12,214+600,214+650,50
km 214+580 - 214+630,2018,Limpieza de carril/pista y bermas T2,m2,2018-06-13,214+600,214+640,40
